epoch,loss,compat,ode,bc,gauge,q0,anchor_p,anchor_q,tail_p,tail_q,lr
1,0.470805810435322,4.231881468928981e-05,4.8499549248783856e-05,8.79828922799167e-09,5.0045852669818575e-12,0.0005965569232874413,0.00032557975176199434,0.001097105427476416,0.09209643057141903,0.0028681836725538193,4.9999986977606495e-05
2,0.47228436629088,0.00011708558161956369,5.251669278842289e-05,1.997185128412605e-05,0.00011658942314639445,0.0005735387947315696,0.0014431476541481155,0.0030712933336690396,0.08641213166929951,0.002823949317492341,4.999994791044026e-05
3,0.4688211129702843,6.091209409142522e-05,4.547948274621207e-05,2.125295091600099e-05,0.00019015007866534327,0.0006149710295408639,0.0016182683885400237,0.0025378080097444547,0.08433444533952665,0.0028487957047867093,4.999988279854413e-05
4,0.44397438069945605,0.00012272715229120893,4.775654170644988e-05,4.5969622718287925e-05,2.532979020755507e-05,0.0005960987054983307,0.0015317296683168933,0.0027278611838744125,0.08248948847302237,0.0028688496844541554,4.999979164198951e-05
5,0.4360181329006552,9.93496492536708e-05,4.5490583547046174e-05,2.925390883390618e-05,7.988347648780004e-05,0.0005763984323146322,0.0013585553043168118,0.0020800615957428264,0.08065962807028428,0.002872426565371944,4.999967444087638e-05
6,0.42370485328600815,0.00010239012603893873,4.136532920606437e-05,1.121019170812944e-05,5.075385681626151e-05,0.0005859377959034946,0.0010869302028550737,0.002361602666129471,0.07922782306640246,0.0028744838588179375,4.9999531195333244e-05
7,0.41292060165824646,0.00011537373306813362,4.820506829856745e-05,1.230099073746464e-05,3.729140099630748e-07,0.0006016870933403787,0.0010806999859601524,0.0022715641335952393,0.07810129290514468,0.0028733456427231974,4.9999361905517206e-05
8,0.40605292662370773,0.00010493980548681405,4.368891269231899e-05,1.6343421438386544e-05,2.210886846458312e-05,0.00060613357900852,0.0008013194437794017,0.00198727098494908,0.07703628001382447,0.0028724767049268236,4.999916657161391e-05
9,0.39955345938311343,0.00011590357653739656,4.479032350122749e-05,1.5227780155230638e-05,5.059734233204781e-06,0.0005981314052897879,0.0007662745026658459,0.002464664609049854,0.07583996135925972,0.00287944570619548,4.999894519383756e-05
10,0.3942584511318394,0.0001292727828605309,4.35606906690507e-05,1.2314378988019411e-05,2.790248940792694e-06,0.0005902258937548474,0.0009333816042068047,0.0022907644286158445,0.07458214121030289,0.0028879885432739,4.999869777243091e-05
