status,error,source,alpha_set,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_used,ci_used,cr_abs_error,ci_abs_error,complex_spectral_error,ln_p_start_right,stage1_mismatch,stage2_mismatch,stage1_seconds,stage2_seconds,reconstruction_seconds,fixed_c_total_seconds,alignment_real,alignment_imag,shooting_y_min,shooting_y_max,n_shooting_points,n_core20,n_core40,p_rel_l2_core20,p_rel_l2_core40,rho_rel_l2_core20,rho_rel_l2_core40,u_rel_l2_core20,u_rel_l2_core40,v_rel_l2_core20,v_rel_l2_core40,p_overlap_error_core20,p_overlap_error_core40,corrected_spectral_error,corrected_mismatch,powell_pass,optimization_seconds_pass1,optimization_seconds_retry,retry_attempted,adaptive_optimization_seconds,adaptive_total_seconds,modal_max
COMPLETED,,pinn,all,1.2,0.05,False,0.0587939705593892,0.1408414697456862,0.0587939705947843,0.1408414703806481,3.539509657590756e-11,6.34961888623664e-10,6.359476494697878e-10,-7.149844123129433,,1.8129188915196653e-21,,1.1256089443340898,0.1947348797693848,1.3203438241034746,1.4399783099356571,0.0079377094922392,-754.3744192924788,754.3744192924788,4517,1601,3201,4.4722625848761786e-07,3.653087950018687e-06,4.4722625849588553e-07,3.653087950021548e-06,1.3609049523060996e-06,1.8677075332422775e-06,3.733173594016662e-07,3.86468289697102e-06,1.006972283335017e-13,6.04394312375689e-12,6.359476798857405e-10,3.2889623944553016e-12,retry_wide_240,13.689705054275692,24.397188790142536,True,38.08689384441823,39.4072376685217,3.86468289697102e-06
COMPLETED,,pinn,all,1.2,0.055,False,0.0778458489605059,0.1382418349818659,0.0778458446709196,0.1382418243684419,4.2895863111569454e-09,1.0613424000771587e-08,1.1447502773138752e-08,-8.00990778071899,,4.151330026627641e-22,,1.1098790662363172,0.1898187948390841,1.2996978610754013,1.4399802848482268,0.0077214537999234,-714.1288761346532,714.1288761346532,4517,1601,3201,5.220244236558277e-07,4.54184460034457e-06,5.220244236573177e-07,4.541844600352687e-06,1.4497000409224549e-06,2.2213434563802038e-06,4.591930849948466e-07,4.89300627713669e-06,1.3578027591165664e-13,9.355849428516194e-12,1.1447502664737393e-08,3.6664586086108637e-10,initial_80,13.797094210982324,0.0,False,13.797094210982324,15.096792072057726,4.89300627713669e-06
COMPLETED,,pinn,all,1.2,0.06,False,0.0926568629074388,0.1356419301356869,0.0926568250317401,0.1356419327875461,3.7875698702394274e-08,2.651859204449991e-09,3.796841989647155e-08,-8.765582037404446,,1.6480733410482837e-22,,1.1183754159137609,0.1944310711696744,1.312806487083435,1.4399802400412052,0.0075879509475876,-677.7385557814366,677.7385557814366,4516,1601,3201,6.108596967588125e-07,5.596033606735236e-06,6.108596967539057e-07,5.596033606743548e-06,1.5243933712305998e-06,2.659097886450985e-06,5.723138105897369e-07,6.111142499842756e-06,1.8685053504441385e-13,1.4202639064819778e-11,3.796841989647155e-08,4.55375552189385e-10,initial_80,13.95718056242913,0.0,False,13.95718056242913,15.269987049512565,6.111142499842756e-06
COMPLETED,,pinn,all,1.2,0.065,False,0.1050524247378762,0.1330421441116264,0.1050524235191778,0.133042160618159,1.218698392202455e-09,1.6506532585225386e-08,1.655146047206301e-08,-9.473174426859028,,3.398503782686145e-22,,1.1426653815433383,0.1962831746786832,1.3389485562220216,1.4399811467647372,0.0074865104311166,-645.7814944004444,645.7814944004444,4516,1601,3201,7.053169657870169e-07,6.738167643966873e-06,7.053169657899441e-07,6.738167643969369e-06,1.617310924470693e-06,3.188689871510554e-06,6.496763877895446e-07,7.409099104934599e-06,2.484679129111101e-13,2.060007719961732e-11,1.6551460521292486e-08,8.270616133706666e-10,initial_80,14.025011483579874,0.0,False,14.025011483579874,15.363960039801896,7.409099104934599e-06
COMPLETED,,pinn,all,1.2,0.07,False,0.1158243946165708,0.1304428119843612,0.1158244081449749,0.1304427982136517,1.3528404091411872e-08,1.3770709489380197e-08,1.930414870180592e-08,-10.157115219491052,,1.2557485506758735e-21,,1.0749494060873983,0.1806777529418468,1.2556271590292454,1.439981342346866,0.0073899985962857,-617.8995426482325,617.8995426482325,4516,1601,3201,8.010948755174136e-07,7.887326279292593e-06,8.010948755203135e-07,7.887326279304513e-06,1.7222308832472389e-06,3.7603240099098527e-06,7.522005782433779e-07,8.746634627580856e-06,3.2118752102405784e-13,2.8268831719913123e-11,1.9304148711183133e-08,1.1821930307880276e-09,initial_80,14.067624969407916,0.0,False,14.067624969407916,15.323252128437161,8.746634627580856e-06
COMPLETED,,pinn,all,1.2,0.075,False,0.1254037605689256,0.1278442189910901,0.1254037497009127,0.1278442056999395,1.0868012906284365e-08,1.3291150596783652e-08,1.7168820248274077e-08,-10.830941566647809,,3.744344872432065e-21,,1.03361629974097,0.1773615023121237,1.210977802053094,1.4399819263292055,0.0072879532694341,-593.5843003594366,593.5843003594366,4516,1601,3201,9.161054057800644e-07,9.29003244231105e-06,9.161054057834052e-07,9.290032442316997e-06,1.811912487503378e-06,4.45954739602383e-06,8.943149364531363e-07,1.0375268147023826e-05,4.196643033083092e-13,3.92345045341358e-11,1.7168820174078683e-08,1.0859130572149948e-09,initial_80,14.117880363948643,0.0,False,14.117880363948643,15.328858166001737,1.0375268147023826e-05
COMPLETED,,pinn,all,1.2,0.08,True,0.1340569456428095,0.1252466098615217,0.1340569502932128,0.1252465971141757,4.6504032846783624e-09,1.2747345984331916e-08,1.3569122313341062e-08,-11.503362753330288,,9.31733479152182e-21,,1.039192677475512,0.176279672421515,1.215472349897027,1.439982971362362,0.007180889910063,-572.3531329711955,572.3531329711955,4516,1601,3201,1.0380918342268726e-06,1.0763161852154216e-05,1.038091834231024e-06,1.0763161852170084e-05,1.924141666597439e-06,5.241512064140566e-06,1.0225729367459811e-06,1.207223574115505e-05,5.393463453629009e-13,5.264555458239784e-11,1.3569122289728925e-08,1.0177243800606604e-09,initial_80,13.893573363311589,0.0,False,13.893573363311589,15.109045713208616,1.207223574115505e-05
COMPLETED,,pinn,all,1.2,0.085,False,0.1419628164889307,0.1226501948965649,0.1419628110567628,0.1226501997572294,5.432167882180039e-09,4.860664509775958e-09,7.289342040046132e-09,-12.180594905603764,,1.9596024405721582e-20,,1.0495895249769092,0.1771757379174232,1.2267652628943324,1.4399833536100448,0.00706063251064,-553.7877893398035,553.7877893398035,4516,1601,3201,1.1698275490833365e-06,1.2271054049371566e-05,1.1698275490877553e-06,1.2271054049386316e-05,2.0262422394622337e-06,6.0699440514563135e-06,1.1782153203445432e-06,1.3814425268880829e-05,6.837863608666339e-13,6.834743881967141e-11,7.289342074885861e-09,5.829487071995818e-10,initial_80,14.357854928821324,0.0,False,14.357854928821324,15.584620191715656,1.3814425268880829e-05
COMPLETED,,pinn,all,1.2,0.09,False,0.1492486582237698,0.1200551554586059,0.1492486651547356,0.1200551428033564,6.930965801288381e-09,1.2655249501114518e-08,1.4428916344413684e-08,-12.867476533409278,,3.731908066819255e-20,,1.0523000415414572,0.178831054829061,1.2311310963705182,1.439984162231562,0.0069321072866175,-537.5376664447916,537.5376664447916,4516,1601,3201,1.3028972458489831e-06,1.3963359609404297e-05,1.302897245851061e-06,1.3963359609408884e-05,2.1427957561838967e-06,7.023334856378097e-06,1.3190410137439984e-06,1.5763767690612856e-05,8.487655023259323e-13,8.852052424401789e-11,1.4428916284714934e-08,1.3359521551450843e-09,initial_80,14.41543279029429,0.0,False,14.41543279029429,15.646563886664808,1.5763767690612856e-05
COMPLETED,,pinn,all,1.2,0.095,False,0.1560090651493015,0.1174616483235438,0.156009073160811,0.1174612098076726,8.011509511351989e-09,4.385158711983639e-07,4.385890486292499e-07,-13.56804814851167,,6.477814980422501e-20,,1.06076396163553,0.1794851021841168,1.2402490638196468,1.4399843334761624,0.0067951904159036,-523.3133286493593,523.3133286493593,4516,1601,3201,1.4447944348870549e-06,1.548936383203336e-05,1.4447944348937005e-06,1.548936383204248e-05,2.415455345397683e-06,7.957129286895865e-06,1.7015899704256802e-06,1.7605177931776875e-05,1.0437206654501097e-12,1.1010037326286691e-10,4.385890485747621e-07,4.42779313817078e-08,initial_80,14.538089408539236,0.0,False,14.538089408539236,15.778338472358882,1.7605177931776875e-05
