chart_id,seed,n,median,mean,p95,p99,max,fraction_lt_1pct,fraction_gt_5pct,fraction_gt_10pct
ETAEDGE_HM2B,1234,32,0.0549720964143307,0.050673471125427,0.08905550208993145,0.08961506036872262,0.08968635338325338,0.125,0.5625,0.0
ETAEDGE_HM2B,2345,32,0.03607408861461876,0.032557892955712306,0.06034473508517315,0.06184338748597745,0.061885098855177775,0.125,0.1875,0.0
ETAEDGE_HM2B,3456,32,0.034608331779756266,0.030851617145902475,0.0556662407740871,0.05749208639304043,0.05792716652675804,0.15625,0.1875,0.0
HM2_NEUTRAL3,1234,14,0.04646288924617997,0.04835320451222631,0.0972952159600448,0.13756778423771093,0.14763592630712752,0.0,0.5,0.07142857142857142
HM2_NEUTRAL3,2345,14,0.03828353705927601,0.04541441437328379,0.11465006958352225,0.20005103094835713,0.221401271289566,0.14285714285714285,0.14285714285714285,0.07142857142857142
HM2_NEUTRAL3,3456,14,0.07306828558869702,0.07206052009334608,0.13461444525708094,0.18426411649984875,0.19667653431054077,0.07142857142857142,0.7142857142857143,0.14285714285714285
MID,1234,43,0.0004842909752694237,0.000613564385468006,0.001561592273124883,0.0018833844653920685,0.00189028625444674,1.0,0.0,0.0
MID,2345,43,0.0005293859990596163,0.0006620136264849296,0.0014946278903652213,0.0018719629952596772,0.0021031191594630405,1.0,0.0,0.0
MID,3456,43,0.00037592519329623063,0.0005269061600551961,0.0015300379674097436,0.0017473417214677563,0.0018095116615662258,1.0,0.0,0.0
NEUTRAL3_LOWM,1234,21,0.010352718470034022,0.012608382166450091,0.028132937324421986,0.028758143091601157,0.02891444453339595,0.47619047619047616,0.0,0.0
NEUTRAL3_LOWM,2345,21,0.010523458623141954,0.016907863695334074,0.0621675190231899,0.06321986989566669,0.06348295761378589,0.47619047619047616,0.09523809523809523,0.0
NEUTRAL3_LOWM,3456,21,0.015025210274972056,0.01668644030740038,0.04252456629781201,0.043763385466435906,0.04407309025859188,0.2857142857142857,0.0,0.0
