path,category,experiment,git_tracked,git_version,working_tree_version,git_sha256,working_tree_sha256,difference_type,scientific_role,used_by_article,used_by_final_pipeline,recommended_resolution,reason,manual_decision_required
assets/classic_subsonic/modes/03_subsonic_three_modes_reim_ampphase_m050.png,classic_subsonic,classical mode presentation,true,HEAD 94e63a95,original worktree local modification,91117d9dd26d527d611693e746dcfc76cc6aab2a631fbc74fbfb500cdcf1ec64,5e7d1cbeff68487eabbba4848aa70e75d3013dbf07b62ca8bd1541d3b213d9c5,binary_generated_figure,Generated by scripts/build_presentation_plots.py; English regeneration of the three-mode pressure panel.,false,false,KEEP_LOCAL,The local image matches the English generator used after the translation pass; it is not referenced by the current article.md.,true
assets/classic_subsonic/plots/01_subsonic_isolines_blumen_vs_classique.png,classic_subsonic,classical presentation overlay,true,HEAD 94e63a95,original worktree local modification,0fb019a71900de55a5a10aa265302af75529a92b2f2ec71fbbb0179cf6784af6,b7ec914315f0bb98ef0e3f73fb081bfdd742db397b7f5485dbbb7accb7620d9c,binary_generated_figure,Copied/generated by scripts/build_presentation_plots.py from the classical subsonic map; local image is the English presentation version.,false,false,KEEP_LOCAL,The local asset belongs to the explicit English-translation pass; no current manuscript reference selects the historical French PNG.,true
assets/classic_subsonic/plots/02_subsonic_error_map_classique.png,classic_subsonic,classical error presentation,true,HEAD 94e63a95,original worktree local modification,26b93d6483ecfc20b6c4024f8333b8e00343d5dc93f5fd7e412bf3d0c77c15da,590f04cd5f1cc7d0708d997c331aa20c49a05b19e88a08cae4613bae48295a5a,binary_generated_figure,Copied/generated by scripts/build_presentation_plots.py from the classical error map; labels are controlled by plot_subsonic_error_map.py.,false,true,KEEP_LOCAL,The local plot is consistent with the final English plotting code and preserves the same numerical data.,true
assets/classic_subsonic/plots/subsonic_hybrid_vs_blumen.png,classic_subsonic,classical Blumen validation,true,HEAD 94e63a95,original worktree local modification,e0e95ae1ff95a42664a95b00833f56b41ee63f805295ea0615f920e6254cc8c8,31eda263c136ecacf26182932888f96d4e0cbbaaf9cde5440086ce6251c825e0,binary_generated_figure,Generated by classical_solver/subsonic/hybrid_subsonic_scan.py from the hybrid growth-map CSV.,false,true,KEEP_LOCAL,The local figure is the English regeneration of the active hybrid classical reference; numerical content is unchanged.,true
classical_solver/subsonic/hybrid_subsonic_scan.py,classic_subsonic,classical Blumen validation,true,HEAD 94e63a95,original worktree local modification,c8656bf4cc584460772032a4008f380dea3734256cc5669fd4ab3b0124eebaff,eb129face3865450f670d9a5679df691125407caf12b40dc5cf618158c205a57,plot_labels_translation_only,"Hybrid GEP/shooting scan and Blumen comparison; local diff changes title, axes and neutral-boundary label from French to English.",false,true,KEEP_LOCAL,"Final publication assets require English labels; no solver equation, tolerance or output value changes.",true
classical_solver/subsonic/mstab17_subsonic_solver.py,classic_subsonic,classical near-neutral solver,true,HEAD 94e63a95,original worktree local modification,0a5c16b6ba400d01a3aa739194979e6d4ee107dcf3e3c7f66fdfd878724f2db8,7af57b663a14ad93006ce0ae3c822a4ca8160b03536695f7cf9350e60d622394,runtime_dependency_import_refactor,mstab17-style Riccati/shooting solver; Matplotlib import moved inside plot_mode.,false,true,KEEP_LOCAL,Lazy plotting import improves headless solver use and leaves numerical behavior unchanged.,true
classical_solver/subsonic/plot_subsonic_error_map.py,plotting,classical error diagnostics,true,HEAD 94e63a95,original worktree local modification,1d43d2877ec57b5ce3bfaa30b5319c2d1308051574364368072730569cc99fb4,2c852522ef1820da687d9fdea90e32418e592f377b53992fc9c8e6ecd55e7a17,plot_labels_translation_only,Classical shooting error-map generator; local diff translates labels and titles to English.,false,true,KEEP_LOCAL,The local version is required to regenerate English article-quality diagnostics without changing data.,true
classical_solver/subsonic/reconstruct_blumen_subsonic_shooting.py,classic_subsonic,classical Blumen shooting reconstruction,true,HEAD 94e63a95,original worktree local modification,86b818fcec01daa9e6c57ecba0f70f4defcb2457980d542bd3c50b9b844c0f78,0eff7502a73f06d4ee23bf5b8216c4abb7fddffa69da47179a1eba663526c5cc,plot_uncertainty_and_translation,Shooting reconstruction; local diff adds fixed digitization error bars and translates plot labels.,false,true,KEEP_LOCAL,"This is the current audited visualization methodology; solver values are unchanged, but uncertainty visualization is scientifically relevant.",true
protocole_pinn_subsonic_alpha_mach_sweep.md,documentation,subsonic PINN protocol,true,HEAD 94e63a95,original worktree local modification,e50fe2ec9b8dcc73c5ac4a0fa90f5c5ca02e004510076db4c12fc072948ee2e3,89e7c954d629f697a44b83ccb4228fae9fce60db0ef01f4f4a474ce5d30b01b4,documentation_extension,"Protocol extended with the frozen classical-reference status, Phase A-ter lessons and stabilized shooting-path schedule.",false,true,KEEP_LOCAL,The additions document the final experimental decisions and should supersede the shorter historical protocol.,true
scripts/build_presentation_plots.py,plotting,presentation assets,true,HEAD 94e63a95,original worktree local modification,937a1e65d5fdc74e146f07c65e8d458543072552d8b4e6310eb3df3dd381a7fd,df3e4de1ce2e195373157676a12852b4779d600b51d0b21921280b34373d16eb,plot_title_translation_only,Presentation-asset builder; local diff translates the three-pressure-mode title to English.,false,false,KEEP_LOCAL,The local generator is consistent with the requested English presentation assets; it is not part of the article pipeline.,true
