path,classification,active_consumer,manifest_dependency,proposed_action,proposed_destination,reason
code/scripts/__init__.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/__init__.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_COST500_technical_threshold_sensitivity.py,FINAL_BENCHMARK,,no,retain,,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_M18_M19_mapping_vs_box_effect.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_M18_M19_max_step_convergence.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_M18_M19_max_step_convergence_c6e9b8c068.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_M18_M19_refined_convergence.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_M18_M19_refined_convergence_0e0240282c.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_N76_chart_overlap.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_N76_independent_physics_residuals.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_adaptive_logmodulus_difficult_point.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_check_blumen_supersonic_digitization.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_check_pinn_supersonic_pq_modal_anchors.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_check_witness_modal_reproduction.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_compact_spectral_analytic_tails.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_diagnose_C00_anchor_continuation_N76.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_diagnose_C00_modal_branch_continuousM_N76.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_diagnose_KH_shoot_points.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_diagnose_KH_shoot_strict_supersonic.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_diagnose_supersonic_candidate_modes_near_blumen.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_diagnose_supersonic_local_mode_families.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_diagnose_supersonic_local_spectrum.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_diagnose_supersonic_mach_branch_tracking.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_diagnose_supersonic_modal_branch_selector.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_diagnose_supersonic_pinn_against_validated_csv.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_diagnose_supersonic_pinn_against_validated_csv_enveloped.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_diagnose_supersonic_pinn_zone_errors.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_diagnose_supersonic_raw_spectrum_vs_blumen.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_gep_nearest_to_fixed_ci_shooting_anchors.py,LEGACY_GEP,,no,move after dependency proof,provenance/legacy_gep,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_gep_parameter_grid.py,LEGACY_GEP,,no,move after dependency proof,provenance/legacy_gep,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_highM_tail_resolution.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_kappa_q_modulus_convergence.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_local_M150_S4M0_modes.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_local_supersonic_modal_dense.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_pinn_supersonic_fixedM_core_windows.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_pinn_supersonic_fixedM_predictions.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_pinn_supersonic_pq_dataset.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_scan_gep_supersonic_local.py,LEGACY_GEP,,no,move after dependency proof,provenance/legacy_gep,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_scan_gep_validity_frontier.py,LEGACY_GEP,,no,move after dependency proof,provenance/legacy_gep,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_scan_mstab17_supersonic_local.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_scan_supersonic_M18_M19_strict_modal_validation.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_scan_supersonic_M18_M19_strict_modal_validation_14e1027f3b.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
code/scripts/audits/audit_scan_supersonic_target_campaign.py,UNRESOLVED,,no,manual review,provenance/,Path-based non-destructive classification; execution-level closure remains to be confirmed before a move.
