final_reference_id,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_pinn,ci_pinn,cr_abs_error,ci_abs_error,complex_spectral_error,p_rel_l2_core20,p_rel_l2_core40,overlap_error_core20,overlap_error_core40,envelope_rel_l2_core40,phase_rmse_core40,kappa_rel_l2_core40,q_rel_l2_core40,alignment_real,alignment_imag,n_core20,n_core40,cr_corrected,ci_corrected,corrected_spectral_error,corrected_mismatch,optimization_seconds,nfev_reported,optimizer_success,powell_pass,cr_pinn_original,ci_pinn_original
M1.150000_a0.06000000,1.15,0.06,False,-2.549736936302885e-09,0.1998472244836177,3.9782865554852254e-08,0.1998477731588455,0.0572428505288056,0.0075336576796855,0.0577364697110749,0.3167838379630608,0.5917350435751346,0.0515022403793499,0.1228074007513494,0.3210055103723988,0.4439140015972933,1.0342291284950278,0.9548225637739102,0.7270749409352316,-0.2834018034056945,1601,3201,3.9782865554852254e-08,0.1998477731588455,5.503058738946682e-07,8.420839134882757e-09,37.221997652202845,240,False,retry_wide_240,0.0572428479790687,0.1923135668039322
M1.150000_a0.06500000,1.15,0.065,False,-2.7143269989556902e-09,0.1599190568707925,1.2736673649240162e-05,0.1598835383608282,0.0624580335938245,0.0220334792353171,0.0662305078315157,0.3095801749460455,0.5926691255421955,0.0491266565517911,0.1198708487089978,0.2898332200284089,0.4650269728414423,1.0303877769560177,0.9552790074236664,0.7346141446320477,-0.3104582747518378,1601,3201,1.2736673649240162e-05,0.1598835383608282,3.773402385234906e-05,2.832748915593652e-07,38.07212045043707,240,False,retry_wide_240,0.0624580308794975,0.1819525361061096
M1.150000_a0.07000000,1.15,0.07,False,0.0452428893063274,0.1450959349017018,0.0452428885747036,0.1450959353717182,0.0234071402933391,0.0264439379830485,0.0353153801163654,0.2828237122362264,0.5589340778021661,0.040828092677376,0.1034734138779894,0.3024945095413294,0.4213496699388134,1.027150221767021,0.8091414033906376,0.7512531261487896,-0.2877853360710528,1601,3201,0.0452428885747036,0.1450959353717182,8.69591180326519e-10,2.472758004223615e-12,38.71664632111788,240,False,retry_wide_240,0.0686500295996666,0.1715398728847503
M1.150000_a0.07500000,1.15,0.075,False,0.0646325378753453,0.1421829713450822,0.0646325376784271,0.1421829719079207,0.0111383915804118,0.019112055195674,0.0221209046108218,0.2706986451875094,0.5576536309567673,0.0373358615313195,0.1005935402228576,0.3276322750104996,0.3941237044382507,1.0173480437493818,0.7298046825106123,0.7503635479807095,-0.2736874245069365,1601,3201,0.0646325376784271,0.1421829719079207,5.962918316164801e-10,9.343384246751906e-12,24.533156073652208,151,True,retry_wide_240,0.0757709294557571,0.1612950265407562
M1.150000_a0.08000000,1.15,0.08,False,0.0790689509372673,0.1392808657517153,0.0790689358040295,0.1392808532062137,0.0046319294710197,0.0121448535094541,0.0129981628467488,0.2636601256465996,0.5639689021099482,0.035384357298712,0.1021060161018166,0.3507016681349486,0.3738049003439348,1.0097675959062136,0.6727816307916173,0.7477804693587831,-0.2607745609969663,1601,3201,0.0790689358040295,0.1392808532062137,1.9657174126250745e-08,9.839942593852323e-10,13.000885442830622,80,False,initial_80,0.083700880408287,0.1514257192611694
M1.150000_a0.08500000,1.15,0.085,False,0.090953586929427,0.1363892725254269,0.0909535965820911,0.1363892768829151,0.0013057754105464,0.0057235190128116,0.0058705808326607,0.2609062844199038,0.5751703099762651,0.0346358662399975,0.1069144323300056,0.3721230296565815,0.3584175487943014,1.004203173762271,0.6299314987906762,0.7442989943335804,-0.2478608227744489,1601,3201,0.0909535965820911,0.1363892768829151,1.0590638715215653e-08,1.0962767536025563e-09,13.095730684697628,80,False,initial_80,0.0922593623399734,0.1421127915382385
M1.150000_a0.09000000,1.15,0.09,True,0.1011993184208567,0.1335078749432744,0.1011993116732424,0.1335078696335264,2.4046051532528034e-05,8.103586691760034e-06,2.5374804660841516e-05,0.2620286288992032,0.5897224174778096,0.0349398994688445,0.1143641513504739,0.3920413453489711,0.3471332361177886,1.0003207939083345,0.5973104155683986,0.7401938889384756,-0.2345995210870462,1601,3201,0.1011993116732424,0.1335078696335264,8.586251859417714e-09,5.28969259326353e-10,13.195330751128497,80,False,initial_80,0.1012233644723892,0.1334997713565826
M1.150000_a0.09500000,1.15,0.095,False,0.1102724452969259,0.1306363663726639,0.1102724471226752,0.1306350448796911,7.794001133978878e-05,0.00494908011492,0.0049496937914647,0.2666186215321843,0.6065136433340369,0.0361978882300174,0.1239345878531351,0.4105325820714715,0.3394559887420854,0.997808038622325,0.5723994591648717,0.7355870198841616,-0.2208806385660203,1601,3201,0.1102724471226752,0.1306350448796911,1.321494233981802e-06,1.1200988298292189e-07,13.32244308385998,80,False,initial_80,0.1103503853082656,0.1256872862577438
M1.150000_a0.10000000,1.15,0.1,False,0.118450325820652,0.1277744569464649,0.1184503119508752,0.1277577363004959,0.0009527235291328,0.0090422057195628,0.0090922585971725,0.274216115363649,0.6247031273755272,0.0383319064901497,0.135176869192679,0.427650581488279,0.335045415648353,0.9963946719008856,0.5533989223737869,0.7305466803637385,-0.2066932497106043,1601,3201,0.1184503119508752,0.1277577363004959,1.672065172143214e-05,1.5892396107898164e-06,13.37714253552258,80,False,initial_80,0.1194030493497848,0.118732251226902
M1.150000_a0.10500000,1.15,0.105,False,0.1259143515352406,0.124921872190643,0.1259143541077472,0.1249218816874362,0.0022557512994609,0.0122704346696621,0.012476056304276,0.2843300401910658,0.6436581120287825,0.0412735383619856,0.1476958599977774,0.4434422291472905,0.3336525891662978,0.995849747911606,0.5389532010415355,0.7251105653248794,-0.1920737492316818,1601,3201,0.1259143541077472,0.1249218816874362,9.839048331429497e-09,1.0283308076238035e-09,13.49504998512566,80,False,initial_80,0.1281701028347015,0.1126514375209808
M1.150000_a0.11000000,1.15,0.11,False,0.132791163489221,0.1220783521564731,0.1327911477627879,0.1220783423138194,0.003690062001349,0.0146504645379313,0.0151080332522464,0.2964727608523627,0.6629098323776751,0.0449586909077818,0.161143594170079,0.4579532718557164,0.3350841940310299,0.9959745787498612,0.528014101427922,0.7193007704321879,-0.1770860032759773,1601,3201,0.1327911477627879,0.1220783423138194,1.8552588138745243e-08,2.1482347973590543e-09,13.573733432218432,80,False,initial_80,0.13648122549057,0.1074278876185417
M1.150000_a0.11500000,1.15,0.115,False,0.1391735170370881,0.1192436508743323,0.1391545061399434,0.1192374868366932,0.0050401743167098,0.0162244059054411,0.0169892526064961,0.3101867511540128,0.6821140159306797,0.0493243563609521,0.1752149706934962,0.4712308387418922,0.3391730148129182,0.9965966930265971,0.5197586289393956,0.7131374136807173,-0.1618139799722262,1601,3201,0.1391545061399434,0.1192374868366932,1.9985233805533256e-05,2.5188207366052946e-06,13.693904678337276,80,False,initial_80,0.1442136913537979,0.1030192449688911
M1.150000_a0.12000000,1.15,0.12,False,0.1451318869386702,0.1164175356042111,0.1451318866466332,0.1163626463755535,0.0061600794996232,0.0170514816653454,0.0181300746392641,0.3250577588964244,0.7010140044689146,0.054305835176491,0.1896422768047377,0.4833247638499255,0.3457495155584888,0.997563511145951,0.5135313104421291,0.70664021659217,-0.146355712929748,1601,3201,0.1451318866466332,0.1163626463755535,5.488922865830277e-05,7.490449402107969e-06,13.789970824494958,80,False,initial_80,0.1512919664382934,0.0993660539388656
M1.150000_a0.12500000,1.15,0.125,False,0.1507213948393332,0.1135997862286294,0.1507213945338607,0.1135653621901832,0.0069608451699746,0.0172006652421677,0.0185557605679066,0.3407169127498542,0.7194083693523599,0.0598340649830967,0.2041884025468299,0.4942883418322762,0.3546162583699252,0.9987380577755908,0.5088022130587084,0.6998333439540354,-0.130822049368787,1601,3201,0.1507213945338607,0.1135653621901832,3.442403844746788e-05,5.058052082666949e-06,13.88256268762052,80,False,initial_80,0.1576822400093078,0.0963991209864616
M1.150000_a0.13000000,1.15,0.13,False,0.1559861792264185,0.1107901946633786,0.1559861827010747,0.1107799632260411,0.0073982285322942,0.0167451740234822,0.0183066828915769,0.3568351256913161,0.737122294492106,0.0658326204191978,0.2186376727735747,0.504179016922826,0.3655248630433539,0.9999956347417658,0.505132541254163,0.6927477132825396,-0.1153351147509909,1601,3201,0.1559861827010747,0.1107799632260411,1.0231437927478044e-05,1.6109436198850228e-06,13.979688182473184,80,False,initial_80,0.1633844077587127,0.0940450206398963
M1.150000_a0.13500000,1.15,0.135,False,0.1609622771307044,0.1079885641008672,0.1609622860021952,0.1079885547228986,0.0074613457158989,0.0157589817315396,0.0174360885839446,0.3731136032777817,0.753983783289134,0.0722143356092046,0.2327850703795535,0.5130589482813293,0.3781573156723666,1.001220498834768,0.5021482097798629,0.6854322602511438,-0.1000305138759005,1601,3201,0.1609622860021952,0.1079885547228986,1.2909285186953853e-08,2.167880581289344e-09,14.06553820054978,80,False,initial_80,0.1684236228466034,0.0922295823693275
