final_reference_id,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_pinn,ci_pinn,cr_abs_error,ci_abs_error,complex_spectral_error,p_rel_l2_core20,p_rel_l2_core40,overlap_error_core20,overlap_error_core40,envelope_rel_l2_core40,phase_rmse_core40,kappa_rel_l2_core40,q_rel_l2_core40,alignment_real,alignment_imag,n_core20,n_core40,cr_corrected,ci_corrected,corrected_spectral_error,corrected_mismatch,optimization_seconds,nfev_reported,optimizer_success,powell_pass,cr_pinn_original,ci_pinn_original
M1.050000_a0.05000000,1.05,0.05,False,3.9623304327421566e-10,0.0216720758392142,3.8529715338679394e-08,0.0216720601405729,0.0204931278018765,0.0037997567640019,0.0208424192110614,0.2229748624910469,0.6919338557068976,0.0251758052360934,0.159558507700003,0.0633414688114656,0.7394742976756827,2.191764385550584,2.9078632153684207,0.885565406787196,0.2696861954968574,1601,3201,3.8529715338679394e-08,0.0216720601405729,4.123845061755063e-08,5.6758980342569485e-09,14.219644323922694,80,False,initial_80,-0.0204931274056434,0.0254718326032161
M1.050000_a0.05500000,1.05,0.055,False,4.874110988424948e-10,0.0242070753369968,4.826897308456188e-08,0.0242070768701017,0.017849550138557,0.0026888984944183,0.0180509449963747,0.2288970510389125,0.6831905660249609,0.0265493643611456,0.1643152906778429,0.0717941628260738,0.7338109958904449,1.885767331287638,2.5913072189165294,0.8798405714085462,0.2615488652278833,1601,3201,4.826897308456188e-08,0.0242070768701017,4.78061510324336e-08,7.035210136446442e-09,15.294568244367838,80,False,initial_80,-0.0178495496511459,0.0268959738314151
M1.050000_a0.06000000,1.05,0.06,False,4.818920439745717e-10,0.026850382922755,5.709618877428976e-08,0.0268503974495145,0.0149231259873394,0.0017565366490023,0.0150261475512951,0.2399917900393226,0.6822125015822835,0.029225082362692,0.1742313091368273,0.0814807721289357,0.7362985221294391,1.6631665712120236,2.343964348761099,0.872256551395624,0.252846853235747,1601,3201,5.709618877428976e-08,0.0268503974495145,5.844831337643208e-08,9.070314436450512e-09,14.71443864516914,80,False,initial_80,-0.0149231255054473,0.0286069195717573
M1.050000_a0.06500000,1.05,0.065,False,5.69640621572975e-10,0.0296177538519902,6.445004163061722e-08,0.0296177432987618,0.0116932844851603,0.0010173329675393,0.0117374557898095,0.2555661059632061,0.6894206545239417,0.0332084167294359,0.1890803494666212,0.0923057987176847,0.746357769616749,1.4979283762247673,2.1501714268287517,0.8628150473777179,0.2436527888932825,1601,3201,6.445004163061722e-08,0.0296177432987618,6.474624515343412e-08,1.0498286313545072e-08,14.414441310800612,80,False,initial_80,-0.0116932839155197,0.0306350868195295
M1.050000_a0.07000000,1.05,0.07,False,4.743779014405197e-10,0.0325278215395402,3.9208310165975314e-08,0.0325278298290532,0.0081394170498097,0.0004805601848174,0.0081535911107906,0.2748138056125934,0.7046823599307209,0.0385025365375505,0.2085472064848333,0.1042411539685965,0.7631047658060587,1.3735146878554687,1.998328781841173,0.851525359690813,0.2340391974931703,1601,3201,3.9208310165975314e-08,0.0325278298290532,3.961102795283265e-08,6.6397284044264615e-09,14.27763354871422,80,False,initial_80,-0.0081394165754318,0.0330083817243576
M1.050000_a0.07500000,1.05,0.075,False,3.8536165476661847e-10,0.0356029301043054,4.8079364070232855e-08,0.0356029449039988,0.0042432177940187,0.0001462967042425,0.0042457390373348,0.2969565030525001,0.7273422680291731,0.0451089929762501,0.2322349350302913,0.1173075808628155,0.7854449945865983,1.2789782508822851,1.879541369060013,0.8384040687620882,0.224078916807207,1601,3201,4.8079364070232855e-08,0.0356029449039988,4.9937448787315255e-08,8.53400917738047e-09,14.15968845039606,80,False,initial_80,-0.004243217408657,0.0357492268085479
M1.050000_a0.08000000,1.05,0.08,True,3.0085735893864327e-10,0.03887030128094,5.62973773749636e-08,0.0388702861779173,7.562038448518747e-06,6.778195257711728e-07,7.592355682289422e-06,0.3213188014638699,0.7563392725345285,0.0530289192241292,0.2596741387736685,0.1315617550499259,0.8121741787438639,1.206794515095946,1.7868075130632413,0.8234720401965793,0.2138429579735296,1601,3201,5.62973773749636e-08,0.0388702861779173,5.7997513294865015e-08,1.0018824051037529e-08,14.108672350645064,80,False,initial_80,7.562339305877685e-06,0.0388709791004657
M1.050000_a0.08500000,1.05,0.085,False,2.2233667796181407e-10,0.0423637176862112,6.278104015388504e-08,0.0423637209353839,0.0046151576202994,1.0882038796809768e-05,0.0046151704496124,0.3473493213628229,0.7903602549931262,0.0622641902173158,0.2903319912345024,0.1470891597881434,0.8420580760230686,1.1516088543840692,1.7145184347769842,0.8067530041770788,0.2033996955913685,1601,3201,6.278104015388504e-08,0.0423637209353839,6.264302438288018e-08,1.0835888873479924e-08,14.005039136856794,80,False,initial_80,0.0046151578426361,0.042374599725008
M1.050000_a0.09000000,1.05,0.09,False,1.56395609562825e-10,0.0461260301076705,5.869521212294172e-08,0.0461260199759697,0.0095682589635918,0.0001195709205334,0.0095690060507554,0.3746154250077465,0.8279869867402078,0.0728197136768566,0.3236235800726939,0.1640016379527272,0.8738865122589974,1.1094972003264878,1.65814115651292,0.7882693084073561,0.1928129019311318,1601,3201,5.869521212294172e-08,0.0461260199759697,5.9409127241203554e-08,1.018299562494714e-08,13.96588224824518,80,False,initial_80,0.0095682591199874,0.0462456010282039
M1.050000_a0.09500000,1.05,0.095,False,4.0200318217775485e-10,0.0502130418038415,1.4794366528202152e-07,0.0502130309650017,0.0148402001414004,0.0002394997560931,0.0148421326085569,0.4027866441420251,0.867804511771498,0.0847061022268276,0.3589220470361727,0.1824399748579901,0.9064945735824936,1.0775108346635645,1.6139956748938256,0.7680363957770445,0.1821397565940649,1601,3201,1.4794366528202152e-07,0.0502130309650017,1.479392527434701e-07,2.489327732997033e-08,13.881375015713274,80,False,initial_80,0.0148402005434036,0.0504525415599346
