path,status,reason
code/scripts/evaluation/aggregate_dense_supersonic_campaign.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/aggregate_dense_supersonic_lowM_lowalpha_extension.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/aggregate_lowM_lowalpha_repaired.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/assemble_supersonic_atlas_certified_v2.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/blumen_isoline_common.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/blumen_reference.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/calibrate_witness_modal_reproduction.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/calibrate_witness_spectral_reproduction.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/collect_KH_shoot_inventory.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/compute_blumen_neutral_point.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/compute_blumen_pointwise_classical.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/compute_blumen_true_positive_isoline_point.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/compute_supersonic_blumen_true_isoline_point.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/compute_true_blumen_isolines.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/create_witness_case.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/curate_KH_shoot_FINAL23.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/debug_supersonic_twosided_reference.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/dedup_supersonic_curated_fields_and_plot_modes.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/densify_refined_M18_M19_modal_fields.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/densify_supersonic_intermediate_mach_spectral.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/densify_supersonic_modal_front_spectral.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/extract_modal_bank_subset.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
code/scripts/evaluation/filter_supersonic_rebuilt_curated_and_plot.py,REVIEW_NAME_PRESERVED,historical/importable module name retained to avoid breaking imports without role-specific review
