chart_id,checkpoint,output_dir,family,mach_min,mach_max,eta_min,eta_max,n_anchor_mach,n_ci_anchors_new,status,reason
HM1_NEUTRAL2,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_NEUTRAL2/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_NEUTRAL2,pq_etaaware,0.7,0.85,0.8,0.92,4,16,READY,
HM1_NEUTRAL3,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_NEUTRAL3/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_NEUTRAL3,pq_etaaware,0.7,0.85,0.92,0.98,4,16,READY,
HM1_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_VLOW_EXTREME/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_VLOW_EXTREME,pQscaled,0.7,0.85,0.05,0.12,4,16,READY,
HM1_VLOW_MOD,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_VLOW_MOD/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_VLOW_MOD,pQscaled,0.7,0.85,0.12,0.25,4,16,READY,
HM2_HIGH,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_HIGH/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_HIGH,pq_etaaware,0.85,0.98,0.55,0.65,4,16,READY,
HM2_LOW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_LOW/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_LOW,pq_etaaware,0.85,0.98,0.25,0.4,4,16,READY,
HM2_MID,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_MID/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_MID,pq_etaaware,0.85,0.98,0.35,0.55,4,16,READY,
HM2_NEUTRAL1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_NEUTRAL1/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_NEUTRAL1,pq_etaaware,0.85,0.98,0.65,0.8,4,16,READY,
HM2_NEUTRAL2,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_NEUTRAL2/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_NEUTRAL2,pq_etaaware,0.85,0.98,0.8,0.92,4,16,READY,
HM2_NEUTRAL3,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_NEUTRAL3/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_NEUTRAL3,pq_etaaware,0.85,0.98,0.92,0.98,4,16,READY,
HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_VLOW_EXTREME,pQscaled,0.85,0.98,0.05,0.12,4,16,READY,
HM2_VLOW_MOD,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_MOD/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_VLOW_MOD,pQscaled,0.85,0.98,0.12,0.25,4,16,READY,
LMEDGE_HIGH,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_HIGH/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_HIGH,pq_etaaware,0.02,0.06,0.55,0.65,5,20,READY,
LMEDGE_LOW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_LOW/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_LOW,pq_etaaware,0.02,0.06,0.12,0.4,5,20,READY,
LMEDGE_MID,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_MID/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_MID,pq_etaaware,0.02,0.06,0.35,0.55,5,20,READY,
LMEDGE_NEUTRAL1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_NEUTRAL1/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_NEUTRAL1,pq_etaaware,0.02,0.06,0.65,0.8,5,20,READY,
LMEDGE_NEUTRAL2,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_NEUTRAL2/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_NEUTRAL2,pq_etaaware,0.02,0.06,0.8,0.92,5,20,READY,
LMEDGE_NEUTRAL3,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_NEUTRAL3/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_NEUTRAL3,pq_etaaware,0.02,0.06,0.92,0.98,5,20,READY,
LMEDGE_VLOW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_VLOW/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_VLOW,pQscaled,0.02,0.06,0.05,0.13,5,20,READY,
LOW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LOW/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOW,pq_legacy,0.1,0.7,0.25,0.4,7,28,READY,
LOWM_EXT_HIGH,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LOWM_EXT_HIGH/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_HIGH,pq_etaaware,0.05,0.1,0.55,0.65,4,16,READY,
LOWM_EXT_LOW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LOWM_EXT_LOW/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_LOW,pq_etaaware,0.05,0.1,0.25,0.4,4,16,READY,
LOWM_EXT_MID,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LOWM_EXT_MID/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_MID,pq_etaaware,0.05,0.1,0.35,0.55,4,16,READY,
LOWM_EXT_NEUTRAL1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LOWM_EXT_NEUTRAL1/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_NEUTRAL1,pq_etaaware,0.05,0.1,0.65,0.8,4,16,READY,
LOWM_EXT_NEUTRAL2,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LOWM_EXT_NEUTRAL2/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_NEUTRAL2,pq_etaaware,0.05,0.1,0.8,0.92,4,16,READY,
LOWM_EXT_NEUTRAL3,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LOWM_EXT_NEUTRAL3/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_NEUTRAL3,pq_etaaware,0.05,0.1,0.92,0.98,4,16,READY,
LOWM_EXT_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LOWM_EXT_VLOW_EXTREME/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_VLOW_EXTREME,pQscaled,0.05,0.1,0.05,0.12,4,16,READY,
LOWM_EXT_VLOW_MOD,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LOWM_EXT_VLOW_MOD/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOWM_EXT_VLOW_MOD,pQscaled,0.05,0.1,0.12,0.25,4,16,READY,
MID,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/MID/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/MID,pq_legacy,0.1,0.7,0.35,0.55,7,28,COMPLETE,joint result already present
NEUTRAL1_HIM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/NEUTRAL1_HIM/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/NEUTRAL1_HIM,pq_legacy,0.35,0.7,0.65,0.8,8,32,READY,
NEUTRAL1_LOWM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/NEUTRAL1_LOWM/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/NEUTRAL1_LOWM,pq_legacy,0.1,0.4,0.65,0.8,7,28,READY,
NEUTRAL2_HIM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/NEUTRAL2_HIM/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/NEUTRAL2_HIM,pq_legacy,0.35,0.7,0.8,0.92,8,32,READY,
NEUTRAL2_LOWM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/NEUTRAL2_LOWM/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/NEUTRAL2_LOWM,pq_legacy,0.1,0.4,0.8,0.92,7,28,READY,
NEUTRAL3_HIM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/NEUTRAL3_HIM/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/NEUTRAL3_HIM,pq_legacy,0.35,0.7,0.92,0.98,8,32,READY,
NEUTRAL3_LOWM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/NEUTRAL3_LOWM/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/NEUTRAL3_LOWM,pq_legacy,0.1,0.4,0.92,0.98,7,28,READY,
ULTRALOW_M002_006_eta002_006,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ULTRALOW_M002_006_eta002_006/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ULTRALOW_M002_006_eta002_006,pQscaled,0.02,0.06,0.02,0.06,5,20,READY,
VLOW_EXTREME_CI_ONLY,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/VLOW_EXTREME_CI_ONLY/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/VLOW_EXTREME_CI_ONLY,pQscaled,0.1,0.7,0.05,0.12,7,28,READY,
VLOW_MOD_QSCALED,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/VLOW_MOD_QSCALED/model_state.pt,assets/pinn_subsonic/joint_ci_mode_atlas_v2/VLOW_MOD_QSCALED,pQscaled,0.1,0.7,0.12,0.25,7,28,READY,
