family,status,primary_role,active_input,active_output,canonical_public_location,article_dependency,main_consumers,notes
anchor_budget,mixed,HPC anchor-budget campaign execution metadata,false,false,none,true,article FIGURE_MANIFEST.csv Main 7 and Main 8,Article provenance names the family root; support logs remain retained campaign context.
atlas_12charts,mixed,Atlas campaign execution metadata and smoke evidence,true,false,none,true,code/scripts/evaluation/test_pointwise_convergence_campaign.py; article FIGURE_MANIFEST.csv Main 6,A retained smoke log is a current test input; article provenance names the family root.
blumen_validation,historical,Classical Blumen-validation outputs and diagnostics,false,false,none,false,none,Contains support logs and legacy validation products; no Phase 6A active consumer was identified.
chart_overlap,historical,Historical chart-overlap validation products,false,false,none,false,none,Retained validation CSV/JSON outputs and historical reports.
classical_convergence,mixed,Classical convergence campaign outputs,false,false,none,true,article FIGURE_MANIFEST.csv Supplementary S4c,The exact matching-location CSV remains manifest source data.
computational_cost,mixed,Computational-cost campaign support and provenance,false,false,none,true,article FIGURE_MANIFEST.csv Main 14,Article provenance names the family root; support files are retained.
fixed_mach,historical,Fixed-Mach support records and archived campaign metadata,false,false,none,false,none,No Phase 6A active consumer was identified.
four_anchors,historical,Four-anchor campaign hashes and sample metadata,false,false,none,false,none,Retained historical/support material.
generic_shooting,historical,Generic-shooting legacy outputs diagnostics and logs,false,false,none,false,none,Large legacy field and rejection reports remain campaign provenance.
legacy_gep,historical,Historical generalized-eigenvalue studies,false,false,none,false,none,GEP outputs are retained for diagnostic provenance and are not the final reference workflow.
modal_reconstruction,active,Modal reference inputs and reconstructed modal campaign outputs,true,false,mixed,true,legacy configs; validation and modal diagnostic scripts; article FIGURE_MANIFEST.csv Supplementary S4d,Support modal Parquet and dense modal reference files are active inputs; the exact S4d CSV remains manifest source data.
physics_residual_audit,active,Independent physics-residual audit outputs,false,true,results/physics_residual_audit,false,code/scripts/audits/audit_N76_independent_physics_residuals.py,Experiment-side outputs are retained while publication-facing canonical copies are under results/.
pinn_direct,active,Direct PINN evaluation campaign outputs,false,true,none,true,code/scripts/evaluation/evaluate_atlas2d_*; article FIGURE_MANIFEST.csv Main 9,Current evaluation scripts write COST500 T401 and validation subtrees.
pinn_seeded_shooting,mixed,PINN-seeded shooting selection and freeze protocol,false,false,none,true,article FIGURE_MANIFEST.csv Main 1,Article provenance names the family root; current content is retained support protocol.
supersonic_general,active,Witness and support sample inputs,true,false,none,false,configs/validation/witness_M150_a01625.yaml,Witness modal sample remains an active configuration input.
technical_threshold_sensitivity,provenance_candidate,Threshold-sensitivity campaign outputs,false,false,results/threshold_sensitivity,false,none,All six audited files have exact publication-facing copies under results/ and remain retained campaign context.
training_stage_comparison,mixed,Training-stage comparison campaign output,false,true,none,false,code/scripts/evaluation/evaluate_compare_N76_training_stages_spectral.py,Current script writes the N76 subtree while the retained file is legacy output.
