article_section,main_or_supplementary,latex_path,source_asset,canonical_asset,sha256,currently_referenced,proposed_article_copy,article_copy_status
PINN principle,Main Text,assets/article/pinn_spectral_workflow.svg,assets/article/pinn_spectral_workflow.svg,assets/article/pinn_spectral_workflow.svg,a235cc9e7ad221a5467c15f11a743dbc60071236752167819fa956d055f8d68b,true,true,CANDIDATE
N340/release candidate asset,Main candidate,,assets/classic_subsonic/article/convergence/fig_subsonic_pointwise_box_convergence.png,assets/classic_subsonic/png/article/convergence/Fig_subsonic_pointwise_box_convergence.png,d4dfa17559b6cb31466da6c5ac231d68173cb8a4cff3fb82195ddc96f6bfde18,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/classic_subsonic/article/convergence/fig_subsonic_pointwise_box_convergence_small_boxes.png,assets/classic_subsonic/png/article/convergence/Fig_subsonic_pointwise_box_convergence_small_boxes.png,793d2b2137468b95220a4920e15c9ea83e4a76ce72217676e53e4cbf27a53862,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/classic_subsonic/article/convergence/fig_subsonic_pointwise_integration_convergence.png,assets/classic_subsonic/png/article/convergence/Fig_subsonic_pointwise_integration_convergence.png,8628e311c4850ad9c0fb14ff9b879774ad2f41201a698621d822a534d9ef8405,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/classic_subsonic/article/convergence/figures/Fig_classical_subsonic_convergence.png,assets/classic_subsonic/png/article/convergence/figures/Fig_classical_subsonic_convergence.png,f2c8346cf3f7df810dade409d29acc9c5fde753c586d5dbb22ac6f89623a7ebf,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/N340/Fig_anchor_budget_comparison.png,assets/pinn_subsonic/png/article/N340/Fig_anchor_budget_comparison.png,84148c62ffdba2a949cafd517c81dcebf564247a3327fbe4c3296691d925aa8a,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/N340/Fig_atlas_49_charts_Mach_alpha.png,assets/pinn_subsonic/png/article/N340/Fig_atlas_49_charts_Mach_alpha.png,89d716161527ffbebde0540870c996742e68fbc0bc4961145d9116559a3e8ef8,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/N340/Fig_atlas_overlap_consistency_N340.png,assets/pinn_subsonic/png/article/N340/Fig_atlas_overlap_consistency_N340.png,d41815463ddc6cf3ee602d695e4f4a09edefdb8d59c8ed7d689e00e8fc49479b,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/N340/Fig_ci_error_heatmap_PINN_GEP_vs_classical_N340.png,assets/pinn_subsonic/png/article/N340/Fig_ci_error_heatmap_PINN_GEP_vs_classical_N340.png,cd8a99eb76eb4068a74461f44665ea6bc7260bd338d7feaf7e88e36da5540c66,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/N340/Fig_gep_selection_comparison_N340.png,assets/pinn_subsonic/png/article/N340/Fig_gep_selection_comparison_N340.png,674ed22285fb4cf25a125b616be8ec267d9487d638409b79ae5e960086dd0544,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/N340/Fig_inference_benchmark_N340.png,assets/pinn_subsonic/png/article/N340/Fig_inference_benchmark_N340.png,6608b3d1310e55937de313460dd903f01ea839e28e904c8826c9d95a04aa54b0,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/N340/Fig_near_neutral_error_scaling_N340.png,assets/pinn_subsonic/png/article/N340/Fig_near_neutral_error_scaling_N340.png,bb5554b150a9d3815fe81cc3dc32a0c757c106395f7044757d4a7e65332e39d7,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/N340/Fig_near_neutral_growth_rate_cuts_N340.png,assets/pinn_subsonic/png/article/N340/Fig_near_neutral_growth_rate_cuts_N340.png,0b5153c4ba2b2ffb983e06856e21676c9bb1aeaac855b4b4bf99c0efae7c7257,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/N340/Fig_paired_modal_error_ecdf_20_N340.png,assets/pinn_subsonic/png/article/N340/Fig_paired_modal_error_ecdf_20_N340.png,426fadcd637cbc704e5ee7942a346f0a0528d6ee912f02775c988fa4a3e203b2,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/N340/Fig_representative_mode_M05_a05_N340.png,assets/pinn_subsonic/png/article/N340/Fig_representative_mode_M05_a05_N340.png,3dcad57c501b48fbbda9f46634ac7525efe4fc3ed20c19fe1d2d99dcbc75db8c,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/N340/Fig_sparse_ci_anchor_map_Mach_alpha_N340.png,assets/pinn_subsonic/png/article/N340/Fig_sparse_ci_anchor_map_Mach_alpha_N340.png,fb2b3f71e979650fb37422ea871a67f739548fdd6b314f17f5f5ffa4d17bb0df,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/atlas/Fig_01_method.png,assets/pinn_subsonic/png/article/atlas/Fig_01_method.png,5d2a34dba4c2d538da5f4e5ff210958616e6ab2a0e4b295b14d373167a6accd0,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/atlas/Fig_02_atlas_architecture_and_coverage.png,assets/pinn_subsonic/png/article/atlas/Fig_02_atlas_architecture_and_coverage.png,1fc210013f8d8add66e93f9776f71c061a5d871d994a4b921b0f6da7eff4a534,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/atlas/Fig_03_sparse_spectral_supervision.png,assets/pinn_subsonic/png/article/atlas/Fig_03_sparse_spectral_supervision.png,9af485720d2aed2a33f968a4e5f1baa4c757933e30ab649a092b4cb73375c2ea,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/ci/Fig_ci_curve_hybrid8_vs_physics_only.png,assets/pinn_subsonic/png/article/ci/Fig_ci_curve_hybrid8_vs_physics_only.png,6fafbd114433d4ac384640117ab93648c3e7a752ae87d09eb88317851380043c,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/ci/Fig_ci_supervision_needed_barplot.png,assets/pinn_subsonic/png/article/ci/Fig_ci_supervision_needed_barplot.png,f34bcb96f6e2e3944f90cbfc11175c16077effcd572fc032a870f8c16bfad8ba,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/ci/Fig_supp_blumen_growth_rate_comparison.png,assets/pinn_subsonic/png/article/ci/Fig_supp_blumen_growth_rate_comparison.png,1b368bfb89450ac2651dae1ede682148469969a7a2255a9a520a6998f42cce68,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/figures/Fig_spectral_modal_architecture_subsonic.png,assets/pinn_subsonic/png/article/figures/Fig_spectral_modal_architecture_subsonic.png,c4b9763e5f57fe03d0003aeaf49e1c5af84c647b4438dbcf7ae38996b279fbb5,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/modes/Fig_06_representative_modes.png,assets/pinn_subsonic/png/article/modes/Fig_06_representative_modes.png,463bc1842c29a9548d4cef2c1dbc962966338330ff281e1cc54fc9e2ee8de2b3,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/modes/Fig_07_final_modal_error_heatmaps.png,assets/pinn_subsonic/png/article/modes/Fig_07_final_modal_error_heatmaps.png,2272a128d8149e67773ebfeaf61e6ca6810214acc7ee37d7fbc72bcea3f533af,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/modes/Fig_mode_error_vs_alpha.png,assets/pinn_subsonic/png/article/modes/Fig_mode_error_vs_alpha.png,b5f7b8b40c93c1ffb872929bdf6faccbfa68995ae3846d0d6489de42fb79319c,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/modes/Fig_mode_reconstruction_alpha_0_200.png,assets/pinn_subsonic/png/article/modes/Fig_mode_reconstruction_alpha_0_200.png,6cc547e00afab4ab927e6ce287d6dd6af94dc2ac67548f3e02988d501a179865,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/modes/Fig_mode_reconstruction_alpha_0_500.png,assets/pinn_subsonic/png/article/modes/Fig_mode_reconstruction_alpha_0_500.png,c525c175f2b16e6b9f20777fee7bd776dc76a84f25989a081cbb835e3ace5cf9,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/modes/Fig_mode_reconstruction_alpha_0_800.png,assets/pinn_subsonic/png/article/modes/Fig_mode_reconstruction_alpha_0_800.png,03d049bca1a41cccc8ab573d8e7ba66dcf5925532de89f33c42b3eb45eb8813b,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/modes/Fig_supp_direct_pinn_modal_error_heatmaps.png,assets/pinn_subsonic/png/article/modes/Fig_supp_direct_pinn_modal_error_heatmaps.png,78b4651688ead1cdf14b86d60b02b8bc6261167b0fda043eb513fdc317312a98,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/modes/Fig_supp_modal_overlap_defect.png,assets/pinn_subsonic/png/article/modes/Fig_supp_modal_overlap_defect.png,906280243d1450dfe431b01cae7b4f469b7eb1eae08f081b11f824a5a59446f8,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/figures/Fig_atlas_overlap_consistency.png,assets/pinn_subsonic/png/article/results_pinn/figures/Fig_atlas_overlap_consistency.png,34114c706a0dc78606a28531dae4732e62fe036cb768b19373d5703d955c7a84,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/figures/Fig_near_neutral_error_scaling.png,assets/pinn_subsonic/png/article/results_pinn/figures/Fig_near_neutral_error_scaling.png,b41da2e12837bf68ce3d77932e01a5b12e9a4f8dd108a29dad96f7ff783a274c,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/figures/Fig_near_neutral_growth_rate_cuts.png,assets/pinn_subsonic/png/article/results_pinn/figures/Fig_near_neutral_growth_rate_cuts.png,f74ef87e322155f769676c7db5143673287d3064e63c954f3b17d07d6b52cdfa,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/figures/Fig_paired_modal_error_ecdf_20.png,assets/pinn_subsonic/png/article/results_pinn/figures/Fig_paired_modal_error_ecdf_20.png,4a8d1895583c593535f59980a37af42503a35a31965c69c5f0d5e8cb3119fa2e,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/figures/Fig_representative_mode_M05_a05.png,assets/pinn_subsonic/png/article/results_pinn/figures/Fig_representative_mode_M05_a05.png,72a17643aba8071a4f86ebbc68aba2d488fc4f2029cdbb59613f86cc981b1dc0,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/figures/Fig_representative_mode_M05_a05_debug_u.png,assets/pinn_subsonic/png/article/results_pinn/figures/Fig_representative_mode_M05_a05_debug_u.png,62e70fd974c477ba301fd807ade98b871f36f36e1e317f576f2bae0be9ba9ff5,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/figures/Fig_single_case_anchor_ablation.png,assets/pinn_subsonic/png/article/results_pinn/figures/Fig_single_case_anchor_ablation.png,05e81047533bddfd0f567ea64a05b6f976a6459ec3618e035e7df5bf5570370a,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/figures/Fig_single_case_anchor_error_histograms.png,assets/pinn_subsonic/png/article/results_pinn/figures/Fig_single_case_anchor_error_histograms.png,3f2282b40b5d550527ca04765687249143a1950b51bce14dec4ddb4cc5463cba,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/figures/Fig_subsonic_runtime.png,assets/pinn_subsonic/png/article/results_pinn/figures/Fig_subsonic_runtime.png,65c9ab424a6506ebab145925ddfc0dced9c800caa1652b7cfcbbbde2d5f0a32f,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/release_final/figures/Fig_Blumen_PINN_direct_GEP_2x2.png,assets/pinn_subsonic/png/article/results_pinn/release_final/figures/Fig_Blumen_PINN_direct_GEP_2x2.png,3e94916ea144ec7e64c182fa46f0bbc79722a0149d692c46f76e5e5637849863,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/release_final/figures/Fig_Blumen_classical_PINN_GEP_2x2.png,assets/pinn_subsonic/png/article/results_pinn/release_final/figures/Fig_Blumen_classical_PINN_GEP_2x2.png,e451c39e93b5e2e9b055fae4112a41dd94fd10f7033680cd4b12f90e21db8c47,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/release_final/figures/Fig_atlas_49_charts_Mach_alpha.png,assets/pinn_subsonic/png/article/results_pinn/release_final/figures/Fig_atlas_49_charts_Mach_alpha.png,96ebfc5dea1039d790e5b86a7c34e4824d213c14858d59b3298b89d16b8c52e9,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/release_final/figures/Fig_ci_cut_fixed_Mach.png,assets/pinn_subsonic/png/article/results_pinn/release_final/figures/Fig_ci_cut_fixed_Mach.png,c7b221bc2f34f0b8b53716216ca05262deed36f4935cddaddca346ef5b322805,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/release_final/figures/Fig_ci_error_heatmap_PINN_GEP_vs_classical.png,assets/pinn_subsonic/png/article/results_pinn/release_final/figures/Fig_ci_error_heatmap_PINN_GEP_vs_classical.png,312e965d85a1907491e1603d723b296f34a4a8290fb36dfe54f4b928c19495dc,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/release_final/figures/Fig_ci_error_heatmap_PINN_GEP_vs_classical_log10_backup.png,assets/pinn_subsonic/png/article/results_pinn/release_final/figures/Fig_ci_error_heatmap_PINN_GEP_vs_classical_log10_backup.png,43c8588fc093e1871a126a41ce66f6777ebcd394180629c91563db34ec40d50e,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/release_final/figures/Fig_isolines_classical_vs_PINN_GEP.png,assets/pinn_subsonic/png/article/results_pinn/release_final/figures/Fig_isolines_classical_vs_PINN_GEP.png,b4dca55780bde39d9fc3f701d5cc2b565f0573f655085204beb9aa1d0b437104,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/release_final/figures/Fig_modal_error_mean_heatmap_PINN_GEP_vs_classical.png,assets/pinn_subsonic/png/article/results_pinn/release_final/figures/Fig_modal_error_mean_heatmap_PINN_GEP_vs_classical.png,ebffced64298d1f59d5e23a455de961ec7576a9de6c4e2fac72ff34158bd20f2,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/release_final/figures/Fig_representative_mode.png,assets/pinn_subsonic/png/article/results_pinn/release_final/figures/Fig_representative_mode.png,a83e5db004328b1504b78ff395952f337b35f05273a51c6e8fd246643cadceb3,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,assets/pinn_subsonic/article/results_pinn/release_final/figures/Fig_sparse_ci_anchor_map_Mach_alpha.png,assets/pinn_subsonic/png/article/results_pinn/release_final/figures/Fig_sparse_ci_anchor_map_Mach_alpha.png,5316ed3494d30076583b3bdb24f9f3229c91fc00925156785667782e7f33cec2,false,false,CANDIDATE
N340/release candidate asset,Supplementary candidate,,assets/pinn_subsonic/article/results_pinn/release_final/figures/SuppFig07_GEP_N_convergence.png,assets/pinn_subsonic/png/article/results_pinn/release_final/figures/Fig_SuppFig07_GEP_N_convergence.png,c57322226a8d80df4fdbe38103379afb985967d450bb9c2192369ae4c5895d4b,false,false,CANDIDATE
N340 supplementary release,Supplementary candidate,,assets/pinn_subsonic/article_supplementary/N340/figures/SuppFig_atlas_seed_sensitivity_N340.png,assets/pinn_subsonic/png/article_supplementary/N340/figures/Fig_SuppFig_atlas_seed_sensitivity_N340.png,a97b087b2f440af0aad46ce434273e3cdbb79005f161a02f8ae5aa7239059159,false,false,CANDIDATE
N340 supplementary release,Supplementary candidate,,assets/pinn_subsonic/article_supplementary/N340/figures/SuppFig_fixed_mach_seed_sensitivity.png,assets/pinn_subsonic/png/article_supplementary/N340/figures/Fig_SuppFig_fixed_mach_seed_sensitivity.png,75e78abf6ae12ad4ce8244a79a80da53dd0faec4e9bd1f85044d26e0921bcdd8,false,false,CANDIDATE
N340 supplementary release,Supplementary candidate,,assets/pinn_subsonic/article_supplementary/N340/figures/SuppFig_holdout_anchors_only_vs_physics_N340.png,assets/pinn_subsonic/png/article_supplementary/N340/figures/Fig_SuppFig_holdout_anchors_only_vs_physics_N340.png,98c8bab7b597d03abdcdc03b4ba506064def9abc436c2c4d21dc10f0a1cbb552,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,pinn_subsonic/assets/atlas/article/atlas/Fig_01_method.png,assets/pinn_subsonic/png/curated/pinn_subsonic/assets/atlas/article/atlas/Fig_01_method.png,5d2a34dba4c2d538da5f4e5ff210958616e6ab2a0e4b295b14d373167a6accd0,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,pinn_subsonic/assets/atlas/article/atlas/Fig_02_atlas_architecture_and_coverage.png,assets/pinn_subsonic/png/curated/pinn_subsonic/assets/atlas/article/atlas/Fig_02_atlas_architecture_and_coverage.png,1fc210013f8d8add66e93f9776f71c061a5d871d994a4b921b0f6da7eff4a534,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,pinn_subsonic/assets/atlas/article/atlas/Fig_03_sparse_spectral_supervision.png,assets/pinn_subsonic/png/curated/pinn_subsonic/assets/atlas/article/atlas/Fig_03_sparse_spectral_supervision.png,9af485720d2aed2a33f968a4e5f1baa4c757933e30ab649a092b4cb73375c2ea,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,pinn_subsonic/assets/atlas/article/modes/Fig_supp_modal_overlap_defect.png,assets/pinn_subsonic/png/curated/pinn_subsonic/assets/atlas/article/modes/Fig_supp_modal_overlap_defect.png,906280243d1450dfe431b01cae7b4f469b7eb1eae08f081b11f824a5a59446f8,false,false,CANDIDATE
N340/release candidate asset,Main candidate,,pinn_subsonic/assets/atlas/article/results_pinn/figures/Fig_atlas_overlap_consistency.png,assets/pinn_subsonic/png/curated/pinn_subsonic/assets/atlas/article/results_pinn/figures/Fig_atlas_overlap_consistency.png,34114c706a0dc78606a28531dae4732e62fe036cb768b19373d5703d955c7a84,false,false,CANDIDATE
