alpha,status,error,Mach,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,cr_lower,cr_upper,ci_lower,ci_upper,optimizer_success,optimizer_message,cr_corrected,ci_corrected,corrected_spectral_error,delta_c_from_pinn,initial_mismatch,corrected_mismatch,mismatch_reduction,initial_evaluation_seconds,optimization_seconds,nfev_reported,nfev_counted,nit,powell_pass,selection_mismatch
0.09,COMPLETED,,1.1,1.812993186489701e-09,0.1849919122211095,0.0492670610547065,0.1791239529848098,0.0496152806293118,0.0,0.1292670610547065,0.1191239529848098,0.2391239529848098,False,Maximum number of function evaluations has been exceeded.,1.0559239736731591e-10,0.1849920936690115,1.8145593506690145e-07,0.0496153037847528,0.0018556641001771,5.2558031710929585e-09,353069.5575479876,0.1673385240137577,36.377689180895686,240,241,2,retry_wide_240,5.2558031710929585e-09
0.095,COMPLETED,,1.1,0.0185431702825212,0.1439719750936911,0.0544643551111221,0.1692249923944473,0.0439095251885373,0.0,0.1344643551111221,0.1092249923944473,0.2292249923944473,False,Maximum number of function evaluations has been exceeded.,0.0185363334925146,0.1439719759187195,6.836790056301734e-06,0.0439151178815507,0.0015747813801552,1.3345305815507325e-07,11800.264466966044,0.1548665184527635,37.35768922790885,240,241,5,retry_wide_240,1.3345305815507325e-07
0.1,COMPLETED,,1.1,0.0456244875305594,0.1408594531338783,0.0606545992195606,0.1592959314584732,0.0237867187816459,0.0206545992195606,0.1006545992195606,0.1292959314584732,0.1892959314584732,False,Maximum number of function evaluations has been exceeded.,0.0456244860980824,0.1408594541842535,1.7763103268217674e-09,0.023786718872666,0.0012579233049497,6.279809379776139e-11,20031233.893832467,0.1618305733427405,12.993281428702176,80,81,2,initial_80,6.279809379776139e-11
0.105,COMPLETED,,1.1,0.0614720572586166,0.1377614529920954,0.0677538216114044,0.1495748907327652,0.0133797561501186,0.0277538216114044,0.1077538216114044,0.1195748907327652,0.1795748907327652,False,Maximum number of function evaluations has been exceeded.,0.0614720552765848,0.1377614416886178,1.147593378131375e-08,0.0133797670608998,0.0008942536831757,7.66500108931536e-10,1166671.3060515192,0.1630428461357951,13.114362025633454,80,81,2,initial_80,7.66500108931536e-10
0.11,COMPLETED,,1.1,0.0737351788015254,0.1346775747592678,0.0756000950932502,0.1402843296527862,0.0059087742562339,0.0356000950932502,0.1156000950932502,0.1102843296527862,0.1702843296527862,False,Maximum number of function evaluations has been exceeded.,0.0737351796455828,0.1346775627486919,1.2040197936591412e-08,0.0059087853865067,0.0004754501449716,1.3755349120021802e-09,345647.45745322487,0.166017435491085,13.211316994391382,80,81,2,initial_80,1.3755349120021802e-09
0.115,COMPLETED,,1.1,0.0840064838857459,0.1316074319054831,0.0839708819985389,0.1316124051809311,3.5947570729903536e-05,0.0439708819985389,0.1239708819985389,0.101612405180931,0.1616124051809311,True,Optimization terminated successfully.,0.0840064897922393,0.1316074349575164,6.648426272622408e-09,3.595299838682778e-05,3.383242243658932e-06,8.95809069933759e-10,3776.744796644119,0.1662526726722717,12.945452087558806,78,79,2,initial_80,8.95809069933759e-10
0.12,COMPLETED,,1.1,0.0929554600078068,0.1285506661833083,0.0926094427704811,0.1237010210752487,0.0048619734267736,0.052609442770481,0.1326094427704811,0.0937010210752487,0.1537010210752487,False,Maximum number of function evaluations has been exceeded.,0.0929554608923655,0.1285539848961616,3.3187129712732577e-06,0.0048652837931371,0.0005241223964169,3.554022649013672e-07,1474.730040233154,0.1704313894733786,13.398600685410202,80,81,1,initial_80,3.554022649013672e-07
0.125,COMPLETED,,1.1,0.1009404428915874,0.1255069324594236,0.1012549102306366,0.1166407242417335,0.0088717832405195,0.0612549102306365,0.1412549102306366,0.0866407242417335,0.1466407242417335,False,Maximum number of function evaluations has been exceeded.,0.1009404379459147,0.1254995594263163,7.373034766025103e-06,0.0088644150199243,0.0010767647389052,8.817392271428887e-07,1221.1827553531168,0.1713421894237399,13.497670030221345,80,81,1,initial_80,8.817392271428887e-07
0.13,COMPLETED,,1.1,0.1081805050618824,0.122475903263755,0.1096699684858322,0.1104722172021865,0.0120957422408043,0.0696699684858322,0.1496699684858322,0.0804722172021865,0.1404722172021865,False,Maximum number of function evaluations has been exceeded.,0.1081804953406243,0.122448566296436,2.7336969047417065e-05,0.012068614994175,0.0016290810145083,3.60235044923251e-06,452.2272437029112,0.1734725646674633,13.581625625491142,80,81,1,initial_80,3.60235044923251e-06
0.135,COMPLETED,,1.1,0.114821536307718,0.1194572670812644,0.1176608949899673,0.1051927730441093,0.0145443373125934,0.0776608949899673,0.1576608949899673,0.0751927730441093,0.1351927730441093,False,Maximum number of function evaluations has been exceeded.,0.1148215508974598,0.1194572788863868,1.8767564650105562e-08,0.0145443460423639,0.0021469245502622,2.692568977627493e-09,797351.7366132507,0.1753579871729016,13.681229040957987,80,81,2,initial_80,2.692568977627493e-09
0.14,COMPLETED,,1.1,0.1209667013989745,0.1164507274034491,0.1250875741243362,0.1007660552859306,0.0162169828097797,0.0850875741243361,0.1650875741243362,0.0707660552859306,0.1307660552859306,False,Maximum number of function evaluations has been exceeded.,0.1209666835852239,0.1164104981937384,4.022921365466144e-05,0.0161780818619205,0.0025960953255156,6.25744897874252e-06,414.8807819823976,0.1794228618964553,13.785224393941462,80,81,1,initial_80,6.25744897874252e-06
0.145,COMPLETED,,1.1,0.1266922780688296,0.1134560016881082,0.1318640261888504,0.0971323475241661,0.0171233368208688,0.0918640261888504,0.1718640261888504,0.0671323475241661,0.127132347524166,False,Maximum number of function evaluations has been exceeded.,0.1266922861699083,0.1134296094515845,2.639223776691658e-05,0.0170981765447199,0.0029466377066433,4.413300809426489e-06,667.6720744594403,0.1782023897394538,13.873267001472414,80,81,1,initial_80,4.413300809426489e-06
0.15,COMPLETED,,1.1,0.1320566414058153,0.1104728205019271,0.1379521936178207,0.0942181646823883,0.0172907886371949,0.0979521936178207,0.1779521936178207,0.0642181646823883,0.1242181646823883,False,Maximum number of function evaluations has been exceeded.,0.1320566385044365,0.1104669106042967,5.909898342524496e-06,0.0172852339911754,0.0031752891804562,1.056659651427568e-06,3005.02548400177,0.178342773579061,13.993931591510773,80,81,1,initial_80,1.056659651427568e-06
0.155,COMPLETED,,1.1,0.1371057085051619,0.1075009266966481,0.1433523595333099,0.0919431298971176,0.0167650138778035,0.1033523595333099,0.1833523595333099,0.0619431298971176,0.1219431298971176,False,Maximum number of function evaluations has been exceeded.,0.1371057203191296,0.1075009271915201,1.1824327956455466e-08,0.0167650099351552,0.0032662302929621,2.241780255262989e-09,1456980.578401524,0.1821972979232669,14.066035059280694,80,81,2,initial_80,2.241780255262989e-09
0.16,COMPLETED,,1.1,0.1418764142379207,0.1045400746294168,0.1480932235717773,0.090224765241146,0.0156069472087093,0.1080932235717772,0.1880932235717773,0.060224765241146,0.120224765241146,False,Maximum number of function evaluations has been exceeded.,0.1418764197898195,0.1045400808905729,8.368133422481668e-09,0.01560695074017,0.003210615126488,1.6713308168951542e-09,1920993.195382136,0.1818709447979927,14.162992999888957,80,81,2,initial_80,1.6713308168951542e-09
0.165,COMPLETED,,1.1,0.1463990255732808,0.1015900294887648,0.1522229760885238,0.0889807119965553,0.0138893227777073,0.1122229760885238,0.1922229760885238,0.0589807119965553,0.1189807119965553,False,Maximum number of function evaluations has been exceeded.,0.1463990170298064,0.1015900313677511,8.747659363584643e-09,0.0138893280659083,0.003005703874462,1.8718069026112183e-09,1605776.6804198646,0.1841892953962087,14.254846408963203,80,81,2,initial_80,1.8718069026112183e-09
0.17,COMPLETED,,1.1,0.1506987370978195,0.0986505663220147,0.1558024138212204,0.0881293043494224,0.0116937790980033,0.1158024138212203,0.1958024138212204,0.0581293043494224,0.1181293043494224,False,Maximum number of function evaluations has been exceeded.,0.1506987470552701,0.0986505535355415,1.620631724340048e-08,0.0116937632477435,0.0026540582632864,3.6392291233598342e-09,729291.3343241693,0.1831736844033002,14.354579313658178,80,81,2,initial_80,3.6392291233598342e-09
0.175,COMPLETED,,1.1,0.1547968043623869,0.0957214701503959,0.1588999927043914,0.0875890031456947,0.0091089612005165,0.1188999927043913,0.1988999927043914,0.0575890031456947,0.1175890031456947,False,Maximum number of function evaluations has been exceeded.,0.1547968120254785,0.0957214851781036,1.6868757355169232e-08,0.0091089711653544,0.0021630430056156,3.9259488527776445e-09,550960.5669175346,0.1848843349143862,14.444963133893909,80,81,2,initial_80,3.9259488527776445e-09
0.18,COMPLETED,,1.1,0.1587113678144348,0.0928025345122517,0.1615886092185974,0.087277166545391,0.0062296235253053,0.1215886092185974,0.2015886092185974,0.057277166545391,0.117277166545391,False,Maximum number of function evaluations has been exceeded.,0.1587113532511706,0.092802539269851,1.532068583991157e-08,0.0062296344713233,0.0015446995666203,3.806495578362016e-09,405806.2159328871,0.1863158838823437,14.54458093456924,80,81,2,initial_80,3.806495578362016e-09
0.185,COMPLETED,,1.1,0.1624580667905106,0.0898935613408621,0.1639434844255447,0.0871088057756424,0.0031561573326582,0.1239434844255447,0.2039434844255447,0.0571088057756423,0.1171088057756424,False,Maximum number of function evaluations has been exceeded.,0.1624580525601876,0.0898935578264358,1.4657874459139029e-08,0.0031561609292012,0.0008158671651881,3.8241428396169445e-09,213346.41497592916,0.1846930989995598,14.612806014716623,80,81,2,initial_80,3.8241428396169445e-09
0.1875,COMPLETED,,1.1,0.1642727872469405,0.0884427509439601,0.165019616484642,0.087050937116146,0.001579525131671,0.125019616484642,0.205019616484642,0.057050937116146,0.117050937116146,False,Maximum number of function evaluations has been exceeded.,0.164272802361776,0.088442760897182,1.809764848527932e-08,0.0015795267555725,0.000416674635403,4.724354805097003e-09,88197.15127101372,0.1853009741753339,14.65573949739337,80,81,2,initial_80,4.724354805097003e-09
0.19,COMPLETED,,1.1,0.1660505044719185,0.0869943604140983,0.1660409569740295,0.0869954898953437,9.61407529738287e-06,0.1260409569740295,0.2060409569740295,0.0569954898953437,0.1169954898953437,False,Maximum number of function evaluations has been exceeded.,0.1660504966442041,0.0869943504754973,1.2651043441851571e-08,9.607475455452586e-06,2.5873556558405275e-06,3.4516013502688783e-09,749.6102224084983,0.1832840293645858,14.652129106223583,80,81,1,initial_80,3.4516013502688783e-09
0.195,COMPLETED,,1.1,0.1695006064537406,0.0841047488496381,0.1679575741291046,0.0868451371788978,0.0031449446656522,0.1279575741291045,0.2079575741291046,0.0568451371788978,0.1168451371788978,False,Maximum number of function evaluations has been exceeded.,0.1695005997284474,0.0841047432018722,8.782188022627164e-09,0.0031449462872273,0.0008800759528723,2.5041031697695234e-09,351453.5517134229,0.1847093775868415,14.79939014930278,80,81,2,initial_80,2.5041031697695234e-09
0.2,COMPLETED,,1.1,0.172818900945195,0.0812245506598016,0.1697693169116974,0.0865625292062759,0.0061476806797347,0.1297693169116973,0.2097693169116974,0.0565625292062759,0.1165625292062759,False,Maximum number of function evaluations has been exceeded.,0.1728189138450868,0.0812245648409915,1.9170637874927807e-08,0.0061476747654038,0.0017869949910761,5.533149333406977e-09,322961.64144476835,0.1843363605439663,14.90459172334522,80,81,2,initial_80,5.533149333406977e-09
0.205,COMPLETED,,1.1,0.176014741248715,0.0783535962323096,0.1715507060289383,0.0860512107610702,0.0088983638876364,0.1315507060289382,0.2115507060289383,0.0560512107610702,0.1160512107610702,False,Maximum number of function evaluations has been exceeded.,0.1760147469085962,0.0783536090338864,1.399695060377434e-08,0.0088983556529057,0.0026841290796113,4.1446611664339525e-09,647611.2212378538,0.1866424772888422,14.92512830067426,80,81,2,initial_80,4.1446611664339525e-09
