status,error,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,cr_lower,cr_upper,ci_lower,ci_upper,optimizer_success,optimizer_message,cr_corrected,ci_corrected,corrected_spectral_error,delta_c_from_pinn,initial_mismatch,corrected_mismatch,mismatch_reduction,initial_evaluation_seconds,optimization_seconds,nfev_reported,nfev_counted,nit,powell_pass,selection_mismatch
COMPLETED,,1.15,0.06,-2.549736936302885e-09,0.1998472244836177,0.0572428479790687,0.1923135668039322,0.0577364697110748,0.0,0.1372428479790687,0.1323135668039322,0.2523135668039322,False,Maximum number of function evaluations has been exceeded.,3.9782865554852254e-08,0.1998477731588455,5.503058738946682e-07,0.0577364993360847,0.0015159946667097,8.420839134882757e-09,180028.9308971424,0.1682714065536856,37.221997652202845,240,241,2,retry_wide_240,8.420839134882757e-09
COMPLETED,,1.15,0.065,-2.7143269989556902e-09,0.1599190568707925,0.0624580308794975,0.1819525361061096,0.0662305078315156,0.0,0.1424580308794975,0.1219525361061096,0.2419525361061096,False,Maximum number of function evaluations has been exceeded.,1.2736673649240162e-05,0.1598835383608282,3.773402385234906e-05,0.0662303210768012,0.001371782416157,2.832748915593652e-07,4842.583854169761,0.1579339578747749,38.07212045043707,240,241,2,retry_wide_240,2.832748915593652e-07
COMPLETED,,1.15,0.07,0.0452428893063274,0.1450959349017018,0.0686500295996666,0.1715398728847503,0.0353153801163654,0.0,0.1486500295996666,0.1115398728847503,0.2315398728847503,False,Maximum number of function evaluations has been exceeded.,0.0452428885747036,0.1450959353717182,8.69591180326519e-10,0.0353153802493424,0.0011915852606648,2.472758004223615e-12,481885109.10874873,0.1596129843965172,38.71664632111788,240,241,3,retry_wide_240,2.472758004223615e-12
COMPLETED,,1.15,0.075,0.0646325378753453,0.1421829713450822,0.0757709294557571,0.1612950265407562,0.0221209046108218,0.0,0.1557709294557571,0.1012950265407562,0.2212950265407562,True,Optimization terminated successfully.,0.0646325376784271,0.1421829719079207,5.962918316164801e-10,0.0221209042236926,0.0009692692133647,9.343384246751906e-12,103738558.51018137,0.1620928030461073,24.533156073652208,151,152,3,retry_wide_240,9.343384246751906e-12
COMPLETED,,1.15,0.08,0.0790689509372673,0.1392808657517153,0.083700880408287,0.1514257192611694,0.0129981628467487,0.043700880408287,0.123700880408287,0.1214257192611694,0.1814257192611694,False,Maximum number of function evaluations has been exceeded.,0.0790689358040295,0.1392808532062137,1.9657174126250742e-08,0.0129981799614301,0.0006985623065689,9.839942593852323e-10,709925.1849349281,0.1629652623087167,13.000885442830622,80,81,2,initial_80,9.839942593852323e-10
COMPLETED,,1.15,0.085,0.090953586929427,0.1363892725254269,0.0922593623399734,0.1421127915382385,0.0058705808326607,0.0522593623399733,0.1322593623399734,0.1121127915382385,0.1721127915382385,False,Maximum number of function evaluations has been exceeded.,0.0909535965820911,0.1363892768829151,1.0590638715215653e-08,0.0058705744373237,0.0003752453447563,1.0962767536025563e-09,342290.7067245641,0.1638936325907707,13.095730684697628,80,81,2,initial_80,1.0962767536025563e-09
COMPLETED,,1.15,0.09,0.1011993184208567,0.1335078749432744,0.1012233644723892,0.1334997713565826,2.5374804660824078e-05,0.0612233644723891,0.1412233644723892,0.1034997713565826,0.1634997713565826,False,Maximum number of function evaluations has been exceeded.,0.1011993116732424,0.1335078696335264,8.586251859417714e-09,2.5379504255409904e-05,1.88848973242806e-06,5.28969259326353e-10,3570.131343422618,0.165097214281559,13.195330751128497,80,81,2,initial_80,5.28969259326353e-10
COMPLETED,,1.15,0.095,0.1102724452969259,0.1306363663726639,0.1103503853082656,0.1256872862577438,0.0049496937914647,0.0703503853082656,0.1503503853082656,0.0956872862577438,0.1556872862577438,False,Maximum number of function evaluations has been exceeded.,0.1102724471226752,0.1306350448796911,1.321494233981802e-06,0.0049483724336217,0.0004217477420004,1.1200988298292189e-07,3765.272588176695,0.168738136999309,13.32244308385998,80,81,1,initial_80,1.1200988298292189e-07
COMPLETED,,1.15,0.1,0.118450325820652,0.1277744569464649,0.1194030493497848,0.118732251226902,0.0090922585971726,0.0794030493497847,0.1594030493497848,0.088732251226902,0.1487322512269019,False,Maximum number of function evaluations has been exceeded.,0.1184503119508752,0.1277577363004959,1.672065172143214e-05,0.009075631623471,0.0008747410014544,1.5892396107898164e-06,550.4147993264307,0.1704053552821278,13.37714253552258,80,81,1,initial_80,1.5892396107898164e-06
COMPLETED,,1.15,0.105,0.1259143515352406,0.124921872190643,0.1281701028347015,0.1126514375209808,0.0124760563042761,0.0881701028347015,0.1681701028347015,0.0826514375209808,0.1426514375209808,False,Maximum number of function evaluations has been exceeded.,0.1259143541077472,0.1249218816874362,9.839048331429497e-09,0.0124760651794248,0.0013389024488307,1.0283308076238035e-09,1302015.3037372755,0.1726172156631946,13.49504998512566,80,81,2,initial_80,1.0283308076238035e-09
