step,ci_anchor_loss,ci_grad_norm
1,0.0993024023658734,0.18044342775120267
2,0.09879861361232863,0.1801008039638981
3,0.09829373347078074,0.18083978201753506
4,0.0977817968132217,0.18266479429736768
5,0.09725805559538554,0.18557782223549504
6,0.09671777914076014,0.18951482781151502
7,0.09615643822140033,0.1943493778237258
8,0.09556981954256027,0.19995959868127794
9,0.09495405556497552,0.20624946913236517
10,0.0943055559797254,0.21314293497280126
11,0.09362089426554016,0.22057728464527454
12,0.09289673615291538,0.22849951122510256
13,0.09212980546414506,0.23686451507937534
14,0.09131685728129244,0.24563358403104318
15,0.09045465830136068,0.25477137312169373
16,0.08954000229951878,0.26424207800793564
17,0.0885697320931745,0.27400958715555873
18,0.08754073222638903,0.2840394609014501
19,0.08644991117034545,0.29429950342281874
20,0.08529419116469486,0.30475946761063893
21,0.08407051151479512,0.3153906062583623
22,0.0827758437594915,0.32616520416262196
23,0.0814072119582195,0.3370560605298004
24,0.07996171274972436,0.3480359001159927
25,0.07843653450970206,0.3590766951326006
26,0.07682897821015122,0.370148848469821
27,0.07513648480797869,0.38122019839602495
28,0.0733566771027427,0.39225482660856203
29,0.07148742397719891,0.4032117606342497
30,0.06952692611434061,0.41404375687597417
31,0.06747381443046076,0.4246961827195899
32,0.06532725368917758,0.4351058939122917
33,0.0630870489422557,0.4452000210016119
34,0.06075375675922907,0.4548945882131098
35,0.058328804509079415,0.46409292982723294
36,0.05581462117306986,0.47268387473065854
37,0.05321478333199359,0.4805396640107939
38,0.050534179349840905,0.48751358780507037
39,0.0477791939575566,0.49343735247038767
40,0.04495791448396855,0.4981182297029895
41,0.042080358440429094,0.5013361019989993
42,0.03915871978916564,0.5028405958017588
43,0.036207627863379194,0.5023485872724838
44,0.03324440741300609,0.4995425015650339
45,0.030289318540948636,0.4940700975805223
46,0.027365744129082832,0.4855467580668902
47,0.024500279483856753,0.47356162408361957
48,0.021722659746695322,0.4576894227943688
49,0.019065435648196908,0.4375105293192203
50,0.01656327985308065,0.41264254449198484
51,0.014251782692012192,0.3827871957306124
52,0.012165595546953714,0.34779638884457026
53,0.01033582056415473,0.30776107587657225
54,0.00878667018820689,0.263127481631069
55,0.007531656562426368,0.21485543031785953
56,0.006569871958782858,0.16468885738602984
57,0.005883254587659135,0.11587063637655155
58,0.0054359264431355515,0.07586602193224387
59,0.005176474110721705,0.06271461327371355
60,0.005043369999666232,0.08294082908273674
61,0.004972769398526791,0.11320766102317431
