chart_id,seed,n,median,p95,p99,max,fraction_lt_1pct,fraction_gt_5pct,fraction_gt_10pct
MID,1234,43,0.0005524543997425482,0.0017041273641023793,0.0018844999987009563,0.001998682451446968,1.0,0.0,0.0
MID,2345,43,0.0005411645455124781,0.0015603801839873756,0.001804816212143567,0.0019363833668641904,1.0,0.0,0.0
MID,3456,43,0.0004103322832106738,0.001467948138432687,0.0015907237718342862,0.001673212200490142,1.0,0.0,0.0
ETAEDGE_HM2B,1234,32,0.05172021788654654,0.0858402216330665,0.08641006532908779,0.08645789055887611,0.15625,0.53125,0.0
ETAEDGE_HM2B,2345,32,0.03266244921553298,0.056992581406118265,0.05850163735449464,0.058536963677196,0.1875,0.125,0.0
ETAEDGE_HM2B,3456,32,0.03143821715925907,0.05228934179696954,0.054138349945404764,0.05458606850847828,0.21875,0.09375,0.0
NEUTRAL3_LOWM,1234,21,0.01703835170287403,0.02755689252594333,0.02786193302322902,0.027938193147550444,0.38095238095238093,0.0,0.0
NEUTRAL3_LOWM,2345,21,0.015836156226555695,0.05962982827939306,0.061931330638231585,0.06250670622794122,0.38095238095238093,0.09523809523809523,0.0
NEUTRAL3_LOWM,3456,21,0.019725326900780354,0.039986875554015866,0.04247484620900105,0.043096838872747345,0.3333333333333333,0.0,0.0
HM2_NEUTRAL3,1234,14,0.05794296287622205,0.1088082870278035,0.14112829301032673,0.14920829450595757,0.0,0.5714285714285714,0.07142857142857142
HM2_NEUTRAL3,2345,14,0.04468346684501927,0.12619851354087833,0.20369946661797156,0.223074704887245,0.0,0.42857142857142855,0.07142857142857142
HM2_NEUTRAL3,3456,14,0.09036453903503408,0.13754498939086054,0.18616187204919601,0.19831609271377995,0.07142857142857142,0.8571428571428571,0.2857142857142857
