chart_id,path,M_min,M_max,eta_min,eta_max,script,anchor_mach_values,anchor_eta_values,ymax,central_ymax,epochs,role,expected_status,status
HM1_LOW,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_LOW_M0.70_0.85_eta0.25_0.40_ciIDW,0.7,0.85,0.25,0.4,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.70,0.75,0.80,0.85","0.25,0.30,0.35,0.40",80,20,25000,high_mach_extension_1__low_eta_standard_pq,validated_candidate,planned
HM1_MID,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_MID_M0.70_0.85_eta0.35_0.55_ciIDW,0.7,0.85,0.35,0.55,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.70,0.75,0.80,0.85","0.35,0.40,0.45,0.50,0.55",80,20,25000,high_mach_extension_1__mid_eta_standard_pq,validated_candidate,planned
HM1_HIGH,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_HIGH_M0.70_0.85_eta0.55_0.65_ciIDW,0.7,0.85,0.55,0.65,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.70,0.75,0.80,0.85","0.55,0.575,0.60,0.625,0.65",60,16,25000,high_mach_extension_1__high_eta_standard_pq,validated_candidate,planned
HM1_NEUTRAL1,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_NEUTRAL1_M0.70_0.85_eta0.65_0.80_ciIDW,0.7,0.85,0.65,0.8,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.70,0.75,0.80,0.85","0.65,0.70,0.7375,0.775,0.80",60,16,25000,high_mach_extension_1__near_neutral_1,validated_candidate,planned
HM1_NEUTRAL2,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_NEUTRAL2_M0.70_0.85_eta0.80_0.92_ciIDW,0.7,0.85,0.8,0.92,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.70,0.75,0.80,0.85","0.80,0.83,0.86,0.89,0.92",55,14,25000,high_mach_extension_1__near_neutral_2,validated_candidate,planned
HM1_NEUTRAL3,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_NEUTRAL3_M0.70_0.85_eta0.92_0.98_ciIDW,0.7,0.85,0.92,0.98,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.70,0.75,0.80,0.85","0.92,0.935,0.95,0.965,0.98",50,14,25000,high_mach_extension_1__near_neutral_3,validated_candidate,planned
HM2_VLOW_EXTREME,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pQscaled2d_ATLAS_HM2_VLOW_EXTREME_M0.85_0.98_eta0.05_0.12_ciIDW,0.85,0.98,0.05,0.12,scripts/dev/train_subsonic_seedGEP_pQscaled2d_continuous_M_alpha.py,"0.85,0.90,0.94,0.98","0.05,0.07,0.09,0.105,0.12",260,65,30000,high_mach_extension_2__very_low_eta_pQscaled_longwave,ci_only_or_validated_after_gep,planned
HM2_VLOW_MOD,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pQscaled2d_ATLAS_HM2_VLOW_MOD_M0.85_0.98_eta0.12_0.25_ciIDW,0.85,0.98,0.12,0.25,scripts/dev/train_subsonic_seedGEP_pQscaled2d_continuous_M_alpha.py,"0.85,0.90,0.94,0.98","0.12,0.15,0.18,0.215,0.25",160,40,30000,high_mach_extension_2__low_eta_pQscaled,validated_candidate,planned
HM2_LOW,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM2_LOW_M0.85_0.98_eta0.25_0.40_ciIDW,0.85,0.98,0.25,0.4,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.85,0.90,0.94,0.98","0.25,0.30,0.35,0.40",120,30,25000,high_mach_extension_2__low_eta_standard_pq,validated_candidate,planned
HM2_MID,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM2_MID_M0.85_0.98_eta0.35_0.55_ciIDW,0.85,0.98,0.35,0.55,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.85,0.90,0.94,0.98","0.35,0.40,0.45,0.50,0.55",120,30,25000,high_mach_extension_2__mid_eta_standard_pq,validated_candidate,planned
HM2_HIGH,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM2_HIGH_M0.85_0.98_eta0.55_0.65_ciIDW,0.85,0.98,0.55,0.65,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.85,0.90,0.94,0.98","0.55,0.575,0.60,0.625,0.65",80,22,25000,high_mach_extension_2__high_eta_standard_pq,validated_candidate,planned
HM2_NEUTRAL1,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM2_NEUTRAL1_M0.85_0.98_eta0.65_0.80_ciIDW,0.85,0.98,0.65,0.8,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.85,0.90,0.94,0.98","0.65,0.70,0.7375,0.775,0.80",80,22,25000,high_mach_extension_2__near_neutral_1,validated_candidate,planned
HM2_NEUTRAL2,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM2_NEUTRAL2_M0.85_0.98_eta0.80_0.92_ciIDW,0.85,0.98,0.8,0.92,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.85,0.90,0.94,0.98","0.80,0.83,0.86,0.89,0.92",70,18,25000,high_mach_extension_2__near_neutral_2,validated_candidate,planned
HM2_NEUTRAL3,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM2_NEUTRAL3_M0.85_0.98_eta0.92_0.98_ciIDW,0.85,0.98,0.92,0.98,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.85,0.90,0.94,0.98","0.92,0.935,0.95,0.965,0.98",60,16,25000,high_mach_extension_2__near_neutral_3,validated_candidate,planned
