epoch,loss,modal_loss,compat,ode,bc,gauge,q_center,parity,ci_anchor,ci_batch_mean,ci_grad_norm,field_lr,ci_lr
1,0.0003571481602163593,0.00019500665064988527,2.1512901654685527e-07,0.00018687170342908838,8.180227398286662e-09,1.474685416833048e-09,1.604803730210761e-08,6.015340114028035e-07,1.62141509566474e-07,0.37746905891952015,0.003048711078306377,4.9999999638266823e-05,0.0001999999985530673
2,0.031057403365935297,0.02926331004778804,7.820464097927447e-05,0.00017450601203220805,0.0002207117516405575,0.00019648932286848932,2.1839475042785652e-07,0.0002697332530490584,1.7940933181472563e-06,0.37708766485818,2.997871381752949,4.999999855306727e-05,0.0001999999942122691
3,0.05906617880124135,0.00198852455677318,5.857427880022863e-06,0.00017651500732329483,1.4769812849376984e-05,1.1572587117597974e-05,2.9591661610812815e-08,2.195764361585436e-05,5.707765424446817e-05,0.3785441534759273,22.28656483016915,4.9999996744401405e-05,0.00019999998697760562
4,0.012545811719099374,0.004891119831035694,1.2466281886348216e-05,0.00017916971100761896,3.675186827353247e-05,3.161057762716271e-05,3.054857155901801e-08,3.985115313507778e-05,7.65469188806368e-06,0.37659049096789776,7.668898513455234,4.999999421226926e-05,0.00019999997684907704
5,0.03375102652048989,0.011972643735704223,3.1674790370696566e-05,0.0001568957846167378,9.230702588019792e-05,7.903541574646813e-05,5.749770889911736e-08,0.00011420980547519166,2.1778382784785667e-05,0.37917210943616164,13.886396652616428,4.999999095667093e-05,0.00019999996382668371
6,0.039818948630558015,0.011271535146705336,2.9552855062720374e-05,0.00018235353043815134,8.804513081480596e-05,7.379371594890496e-05,7.209175496101959e-08,0.00011320662075792405,2.8547413483852676e-05,0.37934070271106457,16.524917519148374,4.99999869776065e-05,0.000199999947910426
7,0.02332272639061585,0.005932235566525988,1.5494231293357166e-05,0.00017899802674789354,4.691795415940025e-05,3.785200604951962e-05,6.747004920924676e-08,6.021758226068653e-05,1.7390490824089865e-05,0.3814003388444313,12.50800292776426,4.99999822750761e-05,0.0001999999291003044
8,0.008707754606999792,0.0009754574796423128,2.6141215038642657e-06,0.00018492581849654746,7.846698925668334e-06,4.608817609040472e-06,4.356764010686835e-08,8.89181518735023e-06,7.73229712735748e-06,0.37908084196770514,7.433615674969521,4.9999976849079863e-05,0.00019999990739631945
9,0.006689761039354039,0.0009832375481808443,2.6868423725790993e-06,0.0001623655545725878,6.302109755882864e-06,5.347950749941069e-06,2.1169735291375885e-08,9.772678089375363e-06,5.706523491173195e-06,0.3765892267785857,6.989264630464057,4.999997069961796e-05,0.00019999988279847185
10,0.015661903291235048,0.00431782556505375,1.0927529146738774e-05,0.00019089002213045338,3.0963318238729024e-05,2.8018771884745315e-05,2.0130586478652234e-08,4.551675326026849e-05,1.13440777261813e-05,0.37663442940901515,9.815098164413577,4.9999963826690585e-05,0.00019999985530676234
11,0.018129131971384223,0.005278485984382426,1.3371269034465785e-05,0.0001917933021465002,3.969498811944083e-05,3.410876493104086e-05,2.2247336191083243e-08,5.642544889976359e-05,1.2850645987001798e-05,0.3774936797367434,9.986226784188645,4.999995623029794e-05,0.00019999982492119176
12,0.008490434837656706,0.003005467754311579,7.832704726671085e-06,0.00019794834313453677,2.333901513326751e-05,1.8239022578342414e-05,1.890062233364891e-08,3.088077555539879e-05,5.484967083345128e-06,0.3788316651339102,6.307145151806458,4.9999947910440266e-05,0.00019999979164176106
13,0.0010840917577963714,0.0005179084086909171,1.5627589966864982e-06,0.00016884722259029994,3.827214256899451e-06,1.780332915337072e-06,2.416877248600669e-08,4.888548103090197e-06,5.661833491054541e-07,0.37967993592774973,1.487246970032218,4.99999388671178e-05,0.0001999997554684712
14,0.006680575618362684,0.0006565591339162959,1.2847685017790646e-06,0.00019787139344703265,2.9308919379258384e-06,3.2370582946870687e-06,5.168509118963829e-08,6.61628372711524e-06,6.024016484446388e-06,0.3786690416556837,6.795790048189425,4.9999929100330824e-05,0.0001999997164013233
15,0.011549873469662032,0.002423052381295011,5.395431610854762e-06,0.00020252549766055573,1.624280509883404e-05,1.536012584804628e-05,8.054807400123438e-08,2.7429811122956566e-05,9.12682108836702e-06,0.3779472645524851,8.519503781255247,4.9999918610079646e-05,0.00019999967444031858
16,0.007498212491276492,0.0031334369427561603,7.401943949722487e-06,0.00021421080595116127,2.3140209453417293e-05,1.955143455199463e-05,9.275162560985456e-08,3.540952170503578e-05,4.364775548520332e-06,0.37909766557444496,5.970874427350786,4.999990739636456e-05,0.00019999962958545825
